"date","precipitation","temp_mean","temp_highest","temp_lowest","PM10","PM2.5","humidity","sunshine_sum","sunshine_rate","wind_mean","wind_max","rental","weekday","season","precipitation2","pred"
2018-01-31,0,-2.6,0,-5.2,35,18,54.5,1.8,17.5,1.6,3.4,4104,"평일","겨울",0,-8938.05596887936
2018-02-01,2.46179775280899,-4,1.2,-8.8,34,21,44.1,9.1,88.3,1.6,3.9,5821,"평일","겨울",6.06044817573539,-4551.23184312965
2018-02-02,2.46179775280899,-2.4,3.8,-7.6,48,32,51.1,8.8,84.6,1.6,3.6,6557,"평일","겨울",6.06044817573539,-2234.580278683
2018-02-03,0.5,-7.3,-2.1,-10.4,31,19,47,9.1,87.5,3.8,5.7,3499,"주말","겨울",0.25,-13839.7926703798
2018-02-04,2.46179775280899,-9.5,-5.2,-12.8,27,20,40.9,9.1,87.5,3.1,5.6,2642,"주말","겨울",6.06044817573539,-17919.3591609084
2018-02-05,2.46179775280899,-9.4,-5.1,-11.8,23,14,37.8,9.3,88.6,3,5.6,4213,"평일","겨울",6.06044817573539,-11757.6163057679
2018-02-06,2.46179775280899,-10.1,-5.8,-12.8,27,17,36.5,9,85.7,3.1,4.9,4257,"평일","겨울",6.06044817573539,-11386.0189148758
2018-02-07,2.46179775280899,-8,-1.6,-13.4,34,23,39.8,9.2,87.6,1.5,3.3,5028,"평일","겨울",6.06044817573539,-3680.96500684772
2018-02-08,2.46179775280899,-4.4,2,-9.7,45,32,43.3,9.2,86.8,1.2,3,6114,"평일","겨울",6.06044817573539,-238.762370222903
2018-02-09,2.46179775280899,0.4,6.1,-5.3,63,48,43.9,2.2,20.8,1.1,3,6905,"평일","겨울",6.06044817573539,220.134963033164
2018-02-10,2.46179775280899,-0.5,3.2,-6.9,66,39,47.4,5.3,50,3,6.3,4829,"주말","겨울",6.06044817573539,-13121.2982522658
2018-02-11,0,-6.1,-2.2,-9.5,44,13,42.5,6.6,61.7,2.7,5.1,3047,"주말","겨울",0,-11756.4722119146
2018-02-12,0,-5.8,-1.8,-9.6,41,13,40.8,8.7,81.3,2.7,5.2,5231,"평일","겨울",0,-5680.70868290266
2018-02-13,2.46179775280899,-0.8,4.3,-7.4,43,14,54.5,8.3,76.9,2.7,5.6,6863,"평일","겨울",6.06044817573539,-3284.54522352841
2018-02-14,2.46179775280899,3.5,8.7,-0.7,59,27,51,3.3,30.6,2.6,5.4,7477,"평일","겨울",6.06044817573539,-255.420744378211
2018-02-15,2.46179775280899,-0.7,4,-3.7,46.205223880597,29.4179104477612,28,6.40671641791045,0,2.5,4.4,3935,"평일","겨울",6.06044817573539,30754.714041562
2018-02-16,2.46179775280899,-1.1,4.9,-5.5,41,16,40.1,9.7,89,2.1,5.5,3047,"평일","겨울",6.06044817573539,2294.9065968034
2018-02-17,2.46179775280899,-3,1.4,-7.1,46.205223880597,29.4179104477612,25.6,9,82.6,2.9,5.5,3494,"주말","겨울",6.06044817573539,-5428.5924521466
2018-02-18,2.46179775280899,-0.4,5.2,-4.9,30,14,26.9,7.2,66.1,1.3,3.5,5191,"주말","겨울",6.06044817573539,2564.74028400793
2018-02-19,2.46179775280899,1.8,6.8,-1.9,51,33,48.6,4.8,43.6,1.5,3,8563,"평일","겨울",6.06044817573539,2559.30855064942
2018-02-20,2.46179775280899,0.9,5.5,-2.4,51,32,41,8.3,75.5,2.5,5.8,8899,"평일","겨울",6.06044817573539,25.6221230705214
2018-02-21,2.46179775280899,-0.9,4.4,-4.5,32,17,31.5,9.8,89.1,2.3,5.2,8342,"평일","겨울",6.06044817573539,4057.32696449418
2018-02-22,0.4,1.3,5.4,-3.9,42,25,59,6.4,57.7,2.2,5.2,8580,"평일","겨울",0.16,-1986.01177669408
2018-02-23,3.7,4.2,8.6,-0.3,79,55,81.1,4.8,43.2,1.9,5,6408,"평일","겨울",13.69,-7596.72079854268
2018-02-24,2.46179775280899,2.4,7.2,-1.1,68,47,49.4,7.6,67.9,2.1,3.9,7198,"주말","겨울",6.06044817573539,-1892.60704023895
2018-02-25,2.46179775280899,1.9,7.9,-1.6,36,25,40.6,9.2,82.1,1.7,3.8,7595,"주말","겨울",6.06044817573539,4234.08237389857
2018-02-26,2.46179775280899,3.1,10.4,-3.2,55,36,43.1,10.2,91.1,1.4,3.6,10712,"평일","겨울",6.06044817573539,12219.3183425596
2018-02-27,2.46179775280899,4.2,6.9,0.6,82,55,48.8,0,0,0.9,1.8,10064,"평일","겨울",6.06044817573539,-835.874783849034
2018-02-28,25,4.6,7.8,1.8,67,43,73.3,0,0,2,3.7,4230,"평일","겨울",625,-20786.8240185964
2018-03-01,0.5,-0.2,3,-4.3,35,26,61.9,8.7,76.3,3.8,6.9,5761,"평일","봄",0.25,2710.92646599566
2018-03-02,6.86770833333333,-0.7,5.4,-6.7,58,24,34,10.3,90.4,1.5,3.3,9388,"평일","봄",47.1654177517361,15588.5474152679
2018-03-03,0,7.9,16.2,-0.1,52,26,38.1,10.1,88.6,1.5,3.9,16029,"주말","봄",0,27386.9953685788
2018-03-04,11.5,9.8,11.9,7.6,28,19,89.1,0,0,1.2,3.5,5373,"주말","봄",132.25,-6419.58272268925
2018-03-05,3.5,5.5,11.4,1.3,8,5,67.5,7,60.9,2,3.5,9943,"평일","봄",12.25,16400.1244835105
2018-03-06,6.86770833333333,4.5,10.9,-1.1,26,15,46.8,10.6,91.4,1.6,3.7,14028,"평일","봄",47.1654177517361,20231.0988293878
2018-03-07,0.5,6.4,10.7,2.2,25,14,54,3,25.9,1.8,3.2,12925,"평일","봄",0.25,16627.7238605849
2018-03-08,4,4.6,9.7,2.7,29,23,76,5.1,44,1.9,4.5,8812,"평일","봄",16,8234.54188800135
2018-03-09,6.86770833333333,4.5,9.6,1.4,41,31,63.3,5.1,43.6,1.5,4.2,13573,"평일","봄",47.1654177517361,8980.20981688723
2018-03-10,6.86770833333333,4.6,9.7,0.7,43,31,65.8,7.9,67.5,2,5.9,13324,"주말","봄",47.1654177517361,3683.83467097481
2018-03-11,6.86770833333333,6.4,12.2,2.7,52,35,51.3,9.8,83.1,2,4.2,15136,"주말","봄",47.1654177517361,14036.362385549
2018-03-12,6.86770833333333,8,15.5,2.2,80,52,45.8,7.5,63.6,1.4,4.2,15913,"평일","봄",47.1654177517361,21869.5423618827
2018-03-13,6.86770833333333,12.4,18.8,5.2,59,37,60.5,6.6,55.9,1.8,4.3,19514,"평일","봄",47.1654177517361,21565.5037906331
2018-03-14,6.86770833333333,17,22.1,13.6,22,11,58.8,7.9,66.4,2.3,5,24911,"평일","봄",47.1654177517361,26243.0663797095
2018-03-15,27,12.4,16.6,8.4,18,12,92.1,0,0,2.1,4.8,7091,"평일","봄",729,-5744.86377275642
2018-03-16,6.86770833333333,7.1,12.2,3.6,12,6,46.9,11,91.7,1.9,3.1,18415,"평일","봄",47.1654177517361,24323.7222450174
2018-03-17,6.86770833333333,6.6,14,0.5,26,16,48,9.1,75.8,1.5,3.8,20165,"주말","봄",47.1654177517361,20243.5675987627
2018-03-18,0.5,8.2,12.5,5.4,52,36,55.9,0,0,1.2,2.9,11740,"주말","봄",0.25,11176.042220942
2018-03-19,1,8,10.4,6.2,30,23,64.5,0,0,2.5,4.2,10297,"평일","봄",1,8629.43311812579
2018-03-20,6.86770833333333,4.7,9.1,1.6,18,7,39.9,5.4,44.6,3.4,4.8,13205,"평일","봄",47.1654177517361,14923.0666564901
2018-03-21,6.86770833333333,2.1,5.3,1.1,41.6443514644351,23.1464435146443,64.1,0.4,3.3,1.7,3.3,8225,"평일","봄",47.1654177517361,1632.53228213374
2018-03-22,6.86770833333333,4.9,11.6,0.6,41.6443514644351,23.1464435146443,61.5,10.7,87.7,2.2,5,16420,"평일","봄",47.1654177517361,18930.7782791267
2018-03-23,6.86770833333333,6.1,12.5,1.8,41.6443514644351,23.1464435146443,55.3,8.7,71.3,2,4.2,17904,"평일","봄",47.1654177517361,20325.0456104169
2018-03-24,6.86770833333333,7.6,13.1,4,41.6443514644351,23.1464435146443,61.9,7.2,58.5,2.1,4.4,14914,"주말","봄",47.1654177517361,12912.929814496
2018-03-25,6.86770833333333,9.6,16.9,4.6,41.6443514644351,23.1464435146443,65.6,9.5,77.2,1.7,3.5,13942,"주말","봄",47.1654177517361,21326.4948879307
2018-03-26,6.86770833333333,11,18.1,5.3,41.6443514644351,23.1464435146443,64.5,9.1,73.4,1.9,4.4,15505,"평일","봄",47.1654177517361,25798.5767775248
2018-03-27,6.86770833333333,13.3,20,7.7,41.6443514644351,23.1464435146443,61.1,7.9,63.7,1.6,3.9,17456,"평일","봄",47.1654177517361,27814.5469241571
2018-03-28,6.86770833333333,14,19,9.4,41.6443514644351,23.1464435146443,66.4,5.2,41.6,2.2,4.8,21232,"평일","봄",47.1654177517361,20403.6329346186
2018-03-29,6.86770833333333,15.4,21.1,11.8,41.6443514644351,23.1464435146443,66.3,7.5,60,1.6,4,21436,"평일","봄",47.1654177517361,26851.9529674473
2018-03-30,6.86770833333333,14.8,21.9,9.8,41.6443514644351,23.1464435146443,55.6,9.9,79.2,1.7,3.8,24411,"평일","봄",47.1654177517361,33924.5736631942
2018-03-31,6.86770833333333,14,20.1,9.3,41.6443514644351,23.1464435146443,52.9,7.9,62.7,1.9,4.5,25673,"주말","봄",47.1654177517361,24400.3828434732
2018-04-01,6.86770833333333,15.6,18.5,11.7,41.6443514644351,23.1464435146443,68.8,1.3,10.3,1.5,3.5,22994,"주말","봄",47.1654177517361,11275.2900706674
2018-04-02,6.86770833333333,18.4,23.7,14.9,41.6443514644351,23.1464435146443,64,5.6,44.4,1.9,4.5,28139,"평일","봄",47.1654177517361,27499.0839805792
2018-04-03,6.86770833333333,17.8,21.2,14.9,41.6443514644351,23.1464435146443,72.9,0.8,6.3,2.1,4.4,26817,"평일","봄",47.1654177517361,16525.0254873431
2018-04-04,6.86770833333333,13.4,18.2,9.5,41.6443514644351,23.1464435146443,67,8,63,1.9,5.1,26034,"평일","봄",47.1654177517361,22542.0713977198
2018-04-05,6.86770833333333,7.6,9.5,6.7,41.6443514644351,23.1464435146443,90.6,0,0,2,3.5,2833,"평일","봄",47.1654177517361,-326.346491687371
2018-04-06,6.86770833333333,5.8,8.6,3,41.6443514644351,23.1464435146443,71.6,4,31.3,3.1,5.7,13297,"평일","봄",47.1654177517361,4634.88773380463
2018-04-07,6.86770833333333,4.2,8.6,1.4,41.6443514644351,23.1464435146443,45.5,9,70.3,4.1,6,13088,"주말","봄",47.1654177517361,12089.3442648992
2018-04-08,6.86770833333333,3.9,7.9,0.6,41.6443514644351,23.1464435146443,59.6,3.3,25.6,1.8,3.6,7758,"주말","봄",47.1654177517361,5445.76789668658
2018-04-09,6.86770833333333,7.9,15.4,0.1,32,22,57.9,9.5,73.6,1.1,2.9,23925,"평일","봄",47.1654177517361,29590.1709160897
2018-04-10,5,15.1,21.9,6.9,37,18,51,6.3,48.5,3.5,8.8,20423,"평일","봄",25,26668.3116127126
2018-04-11,6.86770833333333,12.6,17.3,8.7,53,20,49.4,11.8,90.8,3,6.1,25557,"평일","봄",47.1654177517361,29398.7074749514
2018-04-12,6.86770833333333,13.3,19.6,6.8,40,14,30.5,12,92.3,2.6,6.2,28885,"평일","봄",47.1654177517361,37681.1810823461
2018-04-13,6.86770833333333,14.6,19.3,8.3,29,13,22.9,2.7,20.6,1.3,3.7,29497,"평일","봄",47.1654177517361,30609.9182122963
2018-04-14,9,9,14.8,7.5,18,10,78.8,0.3,2.3,1.8,4.1,8216,"주말","봄",81,5928.21714785301
2018-04-15,6.86770833333333,9.5,14.2,5.6,61,17,65.5,8.6,65.2,2.4,4.9,12721,"주말","봄",47.1654177517361,17148.6591249886
2018-04-16,6.86770833333333,11.6,18.8,4.9,33,20,41.9,12.3,93.2,1.6,4.7,29589,"평일","봄",47.1654177517361,38346.0077043517
2018-04-17,6.86770833333333,12.9,20.1,6.8,50,25,37.9,12.2,92.4,1.9,5.5,28236,"평일","봄",47.1654177517361,39015.1587730849
2018-04-18,6.86770833333333,12.4,19.3,6.2,57,27,35.4,12,90.2,1.9,3.9,23499,"평일","봄",47.1654177517361,40824.901462249
2018-04-19,6.86770833333333,14,20.5,7.4,70,32,38.8,11.4,85.7,1.9,5.1,20400,"평일","봄",47.1654177517361,38256.5908316043
2018-04-20,6.86770833333333,18.4,26.3,11,41.6443514644351,23.1464435146443,46,11.3,84.3,1.3,3.6,28351,"평일","봄",47.1654177517361,47173.144072288
2018-04-21,6.86770833333333,18.7,25.6,12.3,66,36,32,12.4,92.5,1.9,4.6,33144,"주말","봄",47.1654177517361,43129.4822481988
2018-04-22,15.5,15.5,21,10.7,33,18,57.4,0,0,1.1,2.9,8095,"주말","봄",240.25,13933.2636006345
2018-04-23,59,9.3,10.7,8.4,9,6,93.9,0,0,2.2,3,1037,"평일","봄",3481,-22920.2008518612
2018-04-24,3,12.1,16.1,8.9,7,4,63.3,0,0,1.4,2.8,24560,"평일","봄",9,20167.4279563727
2018-04-25,6.86770833333333,14.6,23.3,5.7,30,22,37.8,12.4,91.9,1.5,4.4,33728,"평일","봄",47.1654177517361,47230.2914982115
2018-04-26,6.86770833333333,14.9,22.1,10,39,26,51.9,11.7,86,2.1,5.1,32547,"평일","봄",47.1654177517361,39936.518041147
2018-04-27,6.86770833333333,15.7,23.3,9.7,48,33,52.9,11.3,83.1,1.7,3.8,32989,"평일","봄",47.1654177517361,42347.3636521306
2018-04-28,6.86770833333333,15.4,21.7,10.5,56,35,49,12.4,91.2,2,4.8,33738,"주말","봄",47.1654177517361,35715.9514030845
2018-04-29,6.86770833333333,16.2,22.9,9.4,47,27,43.1,11.6,84.7,1.9,4.3,35159,"주말","봄",47.1654177517361,39096.363321289
2018-04-30,6.86770833333333,19.2,25,14.1,70,47,61.6,9.2,67.2,1.6,3.6,32629,"평일","봄",47.1654177517361,37823.1997997149
2018-05-01,0,20.4,23.3,17.8,52,36,72.8,3.2,23.4,1.5,4,34593,"평일","봄",0,28036.5706561935
2018-05-02,12,15.1,19.7,8.7,41,30,90.4,0,0,1.9,5.2,8374,"평일","봄",144,8047.7361886175
2018-05-03,1,11.2,14.7,6.9,24,12,62.4,8.2,59.4,2.7,5.3,25963,"평일","봄",1,27541.8629797816
2018-05-04,6.86770833333333,14.1,20,8.8,37,15,45.5,12.4,89.9,2.7,5.9,34058,"평일","봄",47.1654177517361,39404.7171398876
2018-05-05,6.86770833333333,18.3,24.6,11.6,34,17,46.8,11,79.1,2.6,4.8,37389,"주말","봄",47.1654177517361,39794.0865687853
2018-05-06,22,16.6,20.7,15,13,8,86.4,3.2,23,1.1,3.9,19809,"주말","봄",484,6977.71633204483
2018-05-07,6.86770833333333,19.2,25.5,14,30,16,60.3,7.1,51.1,1.2,3.7,40026,"평일","봄",47.1654177517361,38750.2880257299
2018-05-08,6.86770833333333,17.5,22.9,11.6,15,7,50.9,11.3,80.7,1.7,2.7,33738,"평일","봄",47.1654177517361,45504.1550611667
2018-05-09,6.86770833333333,15.7,21.8,9.2,19,7,50.4,12.6,90,1.7,3.6,37851,"평일","봄",47.1654177517361,45613.4074593406
2018-05-10,6.86770833333333,15.4,21.4,11.3,35,18,67.4,12.3,87.9,2.3,5.4,36549,"평일","봄",47.1654177517361,37807.439218454
2018-05-11,6.86770833333333,16.1,21.3,11.9,51,29,59.8,5.3,37.6,1.8,3.5,33923,"평일","봄",47.1654177517361,30868.4638693495
2018-05-12,32,14.2,16.1,11.8,27,17,89.3,0,0,0.9,2.9,3551,"주말","봄",1024,-9025.12987468801
2018-05-13,0.5,15.8,20,12.7,18,12,82.5,6.9,48.9,1.9,3.9,35668,"주말","봄",0.25,26809.730099026
2018-05-14,6.86770833333333,18.2,24.5,11.9,58,37,71.4,7.2,50.7,1.4,3.4,35918,"평일","봄",47.1654177517361,35589.6825552096
2018-05-15,0,23.2,29.3,15.4,66,46,56.4,8.9,62.7,1.1,3.4,36476,"평일","봄",0,50515.7289573378
2018-05-16,45,22.3,24.4,21.8,32,22,93.8,0,0,1.9,6.1,7072,"평일","봄",2025,-7103.8309944865
2018-05-17,83,20.9,23.5,18.8,13,8,97,0,0,1.4,8,3802,"평일","봄",6889,-20200.134517711
2018-05-18,6.86770833333333,16.3,19.3,12.2,41.6443514644351,23.1464435146443,86.8,0.4,2.8,1.3,2.7,19629,"평일","봄",47.1654177517361,16044.8810133224
2018-05-19,6.86770833333333,17.6,24.7,10.3,41.6443514644351,23.1464435146443,47.5,12.7,88.8,1.5,2.9,43471,"주말","봄",47.1654177517361,47300.5431751864
2018-05-20,6.86770833333333,17,22.6,11.5,9,5,32.1,4.2,29.4,1.4,2.8,39036,"주말","봄",47.1654177517361,35449.6089747185
2018-05-21,6.86770833333333,17.8,23.7,11.3,8,5,43.9,8.8,61.5,1.4,3.5,42039,"평일","봄",47.1654177517361,44960.0227991903
2018-05-22,6.86770833333333,18.1,23.2,15.4,41.6443514644351,23.1464435146443,75.5,2.7,18.8,1.1,3.1,17444,"평일","봄",47.1654177517361,27492.6343102732
2018-05-23,6.86770833333333,17.3,23.3,13.6,41.6443514644351,23.1464435146443,57.1,12.7,88.2,2.5,5,35975,"평일","봄",47.1654177517361,44797.7071190573
2018-05-24,6.86770833333333,18.3,23.7,11.2,41.6443514644351,23.1464435146443,47.4,12.5,86.8,2.2,5.4,36858,"평일","봄",47.1654177517361,45886.5734785936
2018-05-25,6.86770833333333,19.7,26.2,13.8,41.6443514644351,23.1464435146443,47.4,12.1,84,1.8,4.5,37569,"평일","봄",47.1654177517361,50283.5081046461
2018-05-26,6.86770833333333,21.8,29.6,14,41.6443514644351,23.1464435146443,50.1,12.6,86.9,1.4,4,37761,"주말","봄",47.1654177517361,51774.0975690936
2018-05-27,6.86770833333333,20.3,24.7,17.3,56,25,47.4,4.7,32.4,1.7,4.1,39534,"주말","봄",47.1654177517361,31689.5672251689
2018-05-28,6.86770833333333,22.3,29.1,16.2,41,20,49.8,12.5,86.2,1.6,4.3,40775,"평일","봄",47.1654177517361,54691.6991446287
2018-05-29,6.86770833333333,21.4,25.9,19.1,41.6443514644351,23.1464435146443,69.3,3.4,23.4,1.8,4.4,29925,"평일","봄",47.1654177517361,30807.0672265644
2018-05-30,6.86770833333333,20.2,24.7,15.8,41.6443514644351,23.1464435146443,69.8,9.8,67.6,1.9,4.4,39214,"평일","봄",47.1654177517361,39425.1294410325
2018-05-31,6.86770833333333,20.9,27.6,14.2,41.6443514644351,23.1464435146443,58.9,12.9,88.4,1.9,3.6,41619,"평일","봄",47.1654177517361,53023.810830144
2018-06-01,14.6131944444444,23.8,30.2,17.5,35,20,50.4,12.9,88.4,1.9,4.3,41970,"평일","여름",213.545451871142,55296.5412632288
2018-06-02,14.6131944444444,23.4,30.1,17.6,43,27,44.5,12.8,87.7,2,4.5,41677,"주말","여름",213.545451871142,51310.5512532669
2018-06-03,14.6131944444444,24,30.8,16.9,25.3227091633466,16.6104417670683,39.4,12.9,88.4,1.6,4.2,40565,"주말","여름",213.545451871142,54504.4519172523
2018-06-04,14.6131944444444,22.6,27.5,18.9,36,24,50.1,9.2,63,1.9,4.4,44014,"평일","여름",213.545451871142,45141.5033818905
2018-06-05,14.6131944444444,23.7,29.2,17.7,32,22,52.5,11.4,77.6,1.7,4,44118,"평일","여름",213.545451871142,51453.1860516561
2018-06-06,14.6131944444444,23,27.9,18.4,25.3227091633466,16.6104417670683,62.9,12.7,86.4,2,4,40440,"평일","여름",213.545451871142,49892.861977663
2018-06-07,14.6131944444444,22.2,29.4,17.8,25.3227091633466,16.6104417670683,69.3,9.4,63.9,2,4.1,42038,"평일","여름",213.545451871142,46764.5330917679
2018-06-08,14.6131944444444,21.9,27,18.5,25.3227091633466,16.6104417670683,68,7.1,48.3,2.1,3.7,46516,"평일","여름",213.545451871142,39618.0701812123
2018-06-09,14.6131944444444,23.7,30.1,18.9,25.3227091633466,16.6104417670683,60.6,7.9,53.7,1.4,3.5,32839,"주말","여름",213.545451871142,42698.3966790629
2018-06-10,14.6131944444444,21.3,24.9,18.3,25.3227091633466,16.6104417670683,59.9,1.4,9.5,1.4,2.9,39277,"주말","여름",213.545451871142,25414.9648944687
2018-06-11,14.6131944444444,20.2,23.9,18,25.3227091633466,16.6104417670683,67.3,3.3,22.4,1.4,4.3,30605,"평일","여름",213.545451871142,28462.8824309156
2018-06-12,14.6131944444444,21.3,27.1,16.6,25.3227091633466,16.6104417670683,65.5,12.1,82.3,1.7,4.7,46201,"평일","여름",213.545451871142,47608.2601308825
2018-06-13,14.6131944444444,22,27,18.3,25.3227091633466,16.6104417670683,64,4.9,33.3,1.5,5.1,49116,"평일","여름",213.545451871142,35047.0197172871
2018-06-14,14.6131944444444,21.6,25.1,18.8,25.3227091633466,16.6104417670683,74.9,1.4,9.5,1.1,3.7,30511,"평일","여름",213.545451871142,25990.7089005313
2018-06-15,14.6131944444444,21.7,27,17.2,25.3227091633466,16.6104417670683,60.8,9.8,66.2,1.4,2.7,45103,"평일","여름",213.545451871142,47723.7989167218
2018-06-16,14.6131944444444,22.5,28.7,16.3,25.3227091633466,16.6104417670683,56.4,13,87.8,1.4,2.8,46457,"주말","여름",213.545451871142,51812.8024040218
2018-06-17,14.6131944444444,22.8,27.5,18.9,25.3227091633466,16.6104417670683,66.9,2.4,16.2,1.3,3.9,43484,"주말","여름",213.545451871142,28230.9765408862
2018-06-18,14.6131944444444,24.8,30.8,19.9,25.3227091633466,16.6104417670683,54.9,12.6,85.1,1.5,4,36316,"평일","여름",213.545451871142,56399.5944036481
2018-06-19,14.6131944444444,22.4,27.2,19.1,25.3227091633466,16.6104417670683,61.3,3.1,20.9,1.8,3.6,47296,"평일","여름",213.545451871142,35403.2476902103
2018-06-20,14.6131944444444,22.7,28.4,19.1,25.3227091633466,16.6104417670683,68.1,10.2,68.9,2.3,4.2,46612,"평일","여름",213.545451871142,46741.7874754302
2018-06-21,14.6131944444444,23.7,28.7,19.4,25.3227091633466,16.6104417670683,60.1,12.6,85.1,2.2,4.4,47762,"평일","여름",213.545451871142,51797.3992693628
2018-06-22,14.6131944444444,25,32,18.2,38,23,45.1,12.4,83.8,1.8,4.3,47478,"평일","여름",213.545451871142,59597.3786364277
2018-06-23,14.6131944444444,24.5,28.9,20.9,25.3227091633466,16.6104417670683,50.6,8.5,57.4,2,4.4,45663,"주말","여름",213.545451871142,42379.3429586026
2018-06-24,14.6131944444444,25.2,32.1,20.1,25.3227091633466,16.6104417670683,62.8,11.1,75,1.9,3.7,39548,"주말","여름",213.545451871142,50704.3528329674
2018-06-25,14.6131944444444,27.1,32.9,21.3,25.3227091633466,16.6104417670683,57.1,7.8,52.7,1.2,3.2,46565,"평일","여름",213.545451871142,51764.9207963917
2018-06-26,71.5,22.3,26.9,20.2,51,34,88.3,0,0,2.4,5.7,6391,"평일","여름",5112.25,-3281.91951153064
