"date","precipitation","temp_mean","temp_highest","temp_lowest","PM10","PM2.5","humidity","sunshine_sum","sunshine_rate","wind_mean","wind_max","rental","weekday.Weekday","weekday.Holiday","season.Spring","season.Summer","season.Fall","season.Winter"
"2018-03-09",2.2,4.5,9.6,1.4,41,31,63.3,5.1,43.6,1.5,4.2,13573,1,0,1,0,0,0
"2018-03-10",2.7,4.6,9.7,0.7,43,31,65.8,7.9,67.5,2,5.9,13324,0,1,1,0,0,0
"2018-03-11",1,6.4,12.2,2.7,52,35,51.3,9.8,83.1,2,4.2,15136,0,1,1,0,0,0
"2018-03-12",0,8,15.5,2.2,80,52,45.8,7.5,63.6,1.4,4.2,15913,1,0,1,0,0,0
"2018-03-13",3.1,12.4,18.8,5.2,59,37,60.5,6.6,55.9,1.8,4.3,19514,1,0,1,0,0,0
"2018-03-14",3.9,17,22.1,13.6,22,11,58.8,7.9,66.4,2.3,5,24911,1,0,1,0,0,0
"2018-03-15",27,12.4,16.6,8.4,18,12,92.1,0,0,2.1,4.8,7091,1,0,1,0,0,0
"2018-03-16",3.3,7.1,12.2,3.6,12,6,46.9,11,91.7,1.9,3.1,18415,1,0,1,0,0,0
"2018-03-17",3.5,6.6,14,0.5,26,16,48,9.1,75.8,1.5,3.8,20165,0,1,1,0,0,0
"2018-03-18",0.5,8.2,12.5,5.4,52,36,55.9,0,0,1.2,2.9,11740,0,1,1,0,0,0
"2018-03-19",1,8,10.4,6.2,30,23,64.5,0,0,2.5,4.2,10297,1,0,1,0,0,0
"2018-03-20",3.5,4.7,9.1,1.6,18,7,39.9,5.4,44.6,3.4,4.8,13205,1,0,1,0,0,0
"2018-03-21",1,2.1,5.3,1.1,31.9,17.3,64.1,0.4,3.3,1.7,3.3,8225,1,0,1,0,0,0
"2018-03-22",3.7,4.9,11.6,0.6,31.8,16.8,61.5,10.7,87.7,2.2,5,16420,1,0,1,0,0,0
"2018-03-23",3.5,6.1,12.5,1.8,32.8,17.2,55.3,8.7,71.3,2,4.2,17904,1,0,1,0,0,0
"2018-03-24",4.2,7.6,13.1,4,32.4,18.3,61.9,7.2,58.5,2.1,4.4,14914,0,1,1,0,0,0
"2018-03-25",5,9.6,16.9,4.6,30.9,18,65.6,9.5,77.2,1.7,3.5,13942,0,1,1,0,0,0
"2018-03-26",4,11,18.1,5.3,30.6,16.8,64.5,9.1,73.4,1.9,4.4,15505,1,0,1,0,0,0
"2018-03-27",3.6,13.3,20,7.7,32.1,17.9,61.1,7.9,63.7,1.6,3.9,17456,1,0,1,0,0,0
"2018-03-28",3.5,14,19,9.4,29.3,16.2,66.4,5.2,41.6,2.2,4.8,21232,1,0,1,0,0,0
"2018-03-29",3.4,15.4,21.1,11.8,30,17.3,66.3,7.5,60,1.6,4,21436,1,0,1,0,0,0
"2018-03-30",3.7,14.8,21.9,9.8,31.6,17.3,55.6,9.9,79.2,1.7,3.8,24411,1,0,1,0,0,0
"2018-03-31",3.6,14,20.1,9.3,33.6,19,52.9,7.9,62.7,1.9,4.5,25673,0,1,1,0,0,0
"2018-04-01",3.4,15.6,18.5,11.7,28.1,17.2,68.8,1.3,10.3,1.5,3.5,22994,0,1,1,0,0,0
"2018-04-02",3,18.4,23.7,14.9,31.1,17.7,64,5.6,44.4,1.9,4.5,28139,1,0,1,0,0,0
"2018-04-03",0.1,17.8,21.2,14.9,26.3,15.2,72.9,0.8,6.3,2.1,4.4,26817,1,0,1,0,0,0
"2018-04-04",18.5,13.4,18.2,9.5,31.2,17.9,67,8,63,1.9,5.1,26034,1,0,1,0,0,0
"2018-04-05",10.5,7.6,9.5,6.7,18.7,11.2,90.6,0,0,2,3.5,2833,1,0,1,0,0,0
"2018-04-06",6.5,5.8,8.6,3,26.1,13.5,71.6,4,31.3,3.1,5.7,13297,1,0,1,0,0,0
"2018-04-07",0.2,4.2,8.6,1.4,34.3,16.5,45.5,9,70.3,4.1,6,13088,0,1,1,0,0,0
"2018-04-08",3,3.9,7.9,0.6,35.5,20.1,59.6,3.3,25.6,1.8,3.6,7758,0,1,1,0,0,0
"2018-04-09",1.4,7.9,15.4,0.1,32,22,57.9,9.5,73.6,1.1,2.9,23925,1,0,1,0,0,0
"2018-04-10",5,15.1,21.9,6.9,37,18,51,6.3,48.5,3.5,8.8,20423,1,0,1,0,0,0
"2018-04-11",4.6,12.6,17.3,8.7,53,20,49.4,11.8,90.8,3,6.1,25557,1,0,1,0,0,0
"2018-04-12",4.7,13.3,19.6,6.8,40,14,30.5,12,92.3,2.6,6.2,28885,1,0,1,0,0,0
"2018-04-13",0,14.6,19.3,8.3,29,13,22.9,2.7,20.6,1.3,3.7,29497,1,0,1,0,0,0
"2018-04-14",9,9,14.8,7.5,18,10,78.8,0.3,2.3,1.8,4.1,8216,0,1,1,0,0,0
"2018-04-15",4.2,9.5,14.2,5.6,61,17,65.5,8.6,65.2,2.4,4.9,12721,0,1,1,0,0,0
"2018-04-16",2.7,11.6,18.8,4.9,33,20,41.9,12.3,93.2,1.6,4.7,29589,1,0,1,0,0,0
"2018-04-17",2.3,12.9,20.1,6.8,50,25,37.9,12.2,92.4,1.9,5.5,28236,1,0,1,0,0,0
"2018-04-18",0,12.4,19.3,6.2,57,27,35.4,12,90.2,1.9,3.9,23499,1,0,1,0,0,0
"2018-04-19",1.9,14,20.5,7.4,70,32,38.8,11.4,85.7,1.9,5.1,20400,1,0,1,0,0,0
"2018-04-20",2.2,18.4,26.3,11,34.3,19.1,46,11.3,84.3,1.3,3.6,28351,1,0,1,0,0,0
"2018-04-21",0,18.7,25.6,12.3,66,36,32,12.4,92.5,1.9,4.6,33144,0,1,1,0,0,0
"2018-04-22",15.5,15.5,21,10.7,33,18,57.4,0,0,1.1,2.9,8095,0,1,1,0,0,0
"2018-04-23",59,9.3,10.7,8.4,9,6,93.9,0,0,2.2,3,1037,1,0,1,0,0,0
"2018-04-24",3,12.1,16.1,8.9,7,4,63.3,0,0,1.4,2.8,24560,1,0,1,0,0,0
"2018-04-25",1.6,14.6,23.3,5.7,30,22,37.8,12.4,91.9,1.5,4.4,33728,1,0,1,0,0,0
"2018-04-26",4,14.9,22.1,10,39,26,51.9,11.7,86,2.1,5.1,32547,1,0,1,0,0,0
"2018-04-27",1.6,15.7,23.3,9.7,48,33,52.9,11.3,83.1,1.7,3.8,32989,1,0,1,0,0,0
"2018-04-28",0,15.4,21.7,10.5,56,35,49,12.4,91.2,2,4.8,33738,0,1,1,0,0,0
"2018-04-29",0,16.2,22.9,9.4,47,27,43.1,11.6,84.7,1.9,4.3,35159,0,1,1,0,0,0
"2018-04-30",1.2,19.2,25,14.1,70,47,61.6,9.2,67.2,1.6,3.6,32629,1,0,1,0,0,0
"2018-05-01",0,20.4,23.3,17.8,52,36,72.8,3.2,23.4,1.5,4,34593,1,0,1,0,0,0
"2018-05-02",12,15.1,19.7,8.7,41,30,90.4,0,0,1.9,5.2,8374,1,0,1,0,0,0
"2018-05-03",1,11.2,14.7,6.9,24,12,62.4,8.2,59.4,2.7,5.3,25963,1,0,1,0,0,0
"2018-05-04",4.9,14.1,20,8.8,37,15,45.5,12.4,89.9,2.7,5.9,34058,1,0,1,0,0,0
"2018-05-05",4.7,18.3,24.6,11.6,34,17,46.8,11,79.1,2.6,4.8,37389,0,1,1,0,0,0
"2018-05-06",22,16.6,20.7,15,13,8,86.4,3.2,23,1.1,3.9,19809,0,1,1,0,0,0
"2018-05-07",1.7,19.2,25.5,14,30,16,60.3,7.1,51.1,1.2,3.7,40026,1,0,1,0,0,0
"2018-05-08",2.5,17.5,22.9,11.6,15,7,50.9,11.3,80.7,1.7,2.7,33738,1,0,1,0,0,0
"2018-05-09",2.3,15.7,21.8,9.2,19,7,50.4,12.6,90,1.7,3.6,37851,1,0,1,0,0,0
"2018-05-10",3.3,15.4,21.4,11.3,35,18,67.4,12.3,87.9,2.3,5.4,36549,1,0,1,0,0,0
"2018-05-11",1.9,16.1,21.3,11.9,51,29,59.8,5.3,37.6,1.8,3.5,33923,1,0,1,0,0,0
"2018-05-12",32,14.2,16.1,11.8,27,17,89.3,0,0,0.9,2.9,3551,0,1,1,0,0,0
"2018-05-13",0.5,15.8,20,12.7,18,12,82.5,6.9,48.9,1.9,3.9,35668,0,1,1,0,0,0
"2018-05-14",2.4,18.2,24.5,11.9,58,37,71.4,7.2,50.7,1.4,3.4,35918,1,0,1,0,0,0
"2018-05-15",0,23.2,29.3,15.4,66,46,56.4,8.9,62.7,1.1,3.4,36476,1,0,1,0,0,0
"2018-05-16",45,22.3,24.4,21.8,32,22,93.8,0,0,1.9,6.1,7072,1,0,1,0,0,0
"2018-05-17",83,20.9,23.5,18.8,13,8,97,0,0,1.4,8,3802,1,0,1,0,0,0
"2018-05-18",6.5,16.3,19.3,12.2,22.1,14.2,86.8,0.4,2.8,1.3,2.7,19629,1,0,1,0,0,0
"2018-05-19",0,17.6,24.7,10.3,31.5,18.6,47.5,12.7,88.8,1.5,2.9,43471,0,1,1,0,0,0
"2018-05-20",0,17,22.6,11.5,9,5,32.1,4.2,29.4,1.4,2.8,39036,0,1,1,0,0,0
"2018-05-21",1.4,17.8,23.7,11.3,8,5,43.9,8.8,61.5,1.4,3.5,42039,1,0,1,0,0,0
"2018-05-22",12.5,18.1,23.2,15.4,28.8,17.8,75.5,2.7,18.8,1.1,3.1,17444,1,0,1,0,0,0
"2018-05-23",6.5,17.3,23.3,13.6,30.2,16.8,57.1,12.7,88.2,2.5,5,35975,1,0,1,0,0,0
"2018-05-24",4.7,18.3,23.7,11.2,34.2,18.9,47.4,12.5,86.8,2.2,5.4,36858,1,0,1,0,0,0
"2018-05-25",3.8,19.7,26.2,13.8,33.7,19,47.4,12.1,84,1.8,4.5,37569,1,0,1,0,0,0
"2018-05-26",1.6,21.8,29.6,14,32.4,19.5,50.1,12.6,86.9,1.4,4,37761,0,1,1,0,0,0
"2018-05-27",0,20.3,24.7,17.3,56,25,47.4,4.7,32.4,1.7,4.1,39534,0,1,1,0,0,0
"2018-05-28",2.8,22.3,29.1,16.2,41,20,49.8,12.5,86.2,1.6,4.3,40775,1,0,1,0,0,0
"2018-05-29",1,21.4,25.9,19.1,30.5,18.2,69.3,3.4,23.4,1.8,4.4,29925,1,0,1,0,0,0
"2018-05-30",0,20.2,24.7,15.8,28.4,17.3,69.8,9.8,67.6,1.9,4.4,39214,1,0,1,0,0,0
"2018-05-31",3.6,20.9,27.6,14.2,28.2,16.5,58.9,12.9,88.4,1.9,3.6,41619,1,0,1,0,0,0
"2018-06-01",4.2,23.8,30.2,17.5,35,20,50.4,12.9,88.4,1.9,4.3,41970,1,0,0,1,0,0
"2018-06-02",2.4,23.4,30.1,17.6,43,27,44.5,12.8,87.7,2,4.5,41677,0,1,0,1,0,0
"2018-06-03",1,24,30.8,16.9,28.7,16.8,39.4,12.9,88.4,1.6,4.2,40565,0,1,0,1,0,0
"2018-06-04",3.1,22.6,27.5,18.9,36,24,50.1,9.2,63,1.9,4.4,44014,1,0,0,1,0,0
"2018-06-05",3,23.7,29.2,17.7,32,22,52.5,11.4,77.6,1.7,4,44118,1,0,0,1,0,0
"2018-06-06",2.8,23,27.9,18.4,22.5,13.8,62.9,12.7,86.4,2,4,40440,1,0,0,1,0,0
"2018-06-07",2.6,22.2,29.4,17.8,21.9,13.4,69.3,9.4,63.9,2,4.1,42038,1,0,0,1,0,0
"2018-06-08",2.8,21.9,27,18.5,20,12.1,68,7.1,48.3,2.1,3.7,46516,1,0,0,1,0,0
"2018-06-09",0.5,23.7,30.1,18.9,24.2,15.4,60.6,7.9,53.7,1.4,3.5,32839,0,1,0,1,0,0
"2018-06-10",0.5,21.3,24.9,18.3,25.4,15.8,59.9,1.4,9.5,1.4,2.9,39277,0,1,0,1,0,0
"2018-06-11",5,20.2,23.9,18,29.7,18.2,67.3,3.3,22.4,1.4,4.3,30605,1,0,0,1,0,0
"2018-06-12",0,21.3,27.1,16.6,25.7,16,65.5,12.1,82.3,1.7,4.7,46201,1,0,0,1,0,0
"2018-06-13",0,22,27,18.3,32.6,20,64,4.9,33.3,1.5,5.1,49116,1,0,0,1,0,0
"2018-06-14",29,21.6,25.1,18.8,27.7,17.7,74.9,1.4,9.5,1.1,3.7,30511,1,0,0,1,0,0
"2018-06-15",16.5,21.7,27,17.2,22,13.6,60.8,9.8,66.2,1.4,2.7,45103,1,0,0,1,0,0
"2018-06-16",0,22.5,28.7,16.3,23.3,15.1,56.4,13,87.8,1.4,2.8,46457,0,1,0,1,0,0
"2018-06-17",2.2,22.8,27.5,18.9,26.3,17,66.9,2.4,16.2,1.3,3.9,43484,0,1,0,1,0,0
"2018-06-18",2.9,24.8,30.8,19.9,26.3,15.9,54.9,12.6,85.1,1.5,4,36316,1,0,0,1,0,0
"2018-06-19",1.6,22.4,27.2,19.1,25.8,15.2,61.3,3.1,20.9,1.8,3.6,47296,1,0,0,1,0,0
"2018-06-20",2.6,22.7,28.4,19.1,21,12.8,68.1,10.2,68.9,2.3,4.2,46612,1,0,0,1,0,0
"2018-06-21",3,23.7,28.7,19.4,24,14.4,60.1,12.6,85.1,2.2,4.4,47762,1,0,0,1,0,0
"2018-06-22",3.1,25,32,18.2,38,23,45.1,12.4,83.8,1.8,4.3,47478,1,0,0,1,0,0
"2018-06-23",2.1,24.5,28.9,20.9,25.3,15.2,50.6,8.5,57.4,2,4.4,45663,0,1,0,1,0,0
"2018-06-24",2.2,25.2,32.1,20.1,21.6,13.9,62.8,11.1,75,1.9,3.7,39548,0,1,0,1,0,0
"2018-06-25",0,27.1,32.9,21.3,27.7,17.1,57.1,7.8,52.7,1.2,3.2,46565,1,0,0,1,0,0
"2018-06-26",71.5,22.3,26.9,20.2,51,34,88.3,0,0,2.4,5.7,6391,1,0,0,1,0,0
"2018-06-27",1,22.3,25.5,19.1,19.9,12.9,81.9,2.9,19.6,2,4.5,41128,1,0,0,1,0,0
"2018-06-28",26.5,23.3,27.3,20.6,24.1,16.3,85.1,1.9,12.8,1.1,4.3,27757,1,0,0,1,0,0
"2018-06-29",6.5,24.7,29.1,21.9,18,12.4,78.5,8.4,56.8,1.5,3.2,42765,1,0,0,1,0,0
"2018-06-30",14.5,24.4,27.9,21.6,50,34,83.8,0.5,3.4,0.9,5.1,26911,0,1,0,1,0,0
"2018-07-01",83.5,21.9,22.8,21,11,8,94.6,0,0,0.8,2.3,4358,0,1,0,1,0,0
"2018-07-02",59.5,22.6,25.3,20.6,10,7,95.4,0.1,0.7,0.7,2.9,6261,1,0,0,1,0,0
"2018-07-03",0.1,27.4,32.6,22.5,11,8,74.4,10.1,68.7,0.8,2.6,41350,1,0,0,1,0,0
"2018-07-04",2.5,27.3,31.8,24,23.2,14.9,69.6,8.4,57.1,1.7,3.9,45741,1,0,0,1,0,0
"2018-07-05",0.5,25.3,29,23.4,25.2,16.2,72.8,1.7,11.6,1.2,3,39804,1,0,0,1,0,0
"2018-07-06",1.7,23.9,27.1,21.5,6,3,57.8,2.6,17.7,1.8,3.4,49521,1,0,0,1,0,0
"2018-07-08",0,23.3,28.1,17.7,11,8,51.5,9.5,65.1,1.5,2.8,48132,0,1,0,1,0,0
"2018-07-09",14,20.8,24.2,20.1,9,7,82.3,0,0,1.1,1.8,8155,1,0,0,1,0,0
"2018-07-10",16.5,23.7,26.5,20.4,19,13,87.8,0,0,0.7,1.6,27956,1,0,0,1,0,0
"2018-07-11",3,26.8,29.5,24.4,34,23,82.9,0.1,0.7,1.3,3.9,35390,1,0,0,1,0,0
"2018-07-12",1,26.6,28.2,25.1,28,18,82.4,1.1,7.5,1.5,3.6,43611,1,0,0,1,0,0
"2018-07-13",3.1,27.3,30.9,24.7,22,17,74.8,7,47.9,1.8,3.4,44976,1,0,0,1,0,0
"2018-07-14",0,27.9,31.9,24.6,20,15,69.6,11.3,77.9,1.9,4.2,39205,0,1,0,1,0,0
"2018-07-15",2.7,28.3,33.2,24.5,23,18,69.6,11,75.9,1.6,3.7,34957,0,1,0,1,0,0
"2018-07-16",3,28.7,34,24,24,20,64.3,12.9,89,1.7,3.6,40964,1,0,0,1,0,0
"2018-07-17",2.5,28.1,32.1,23.9,28,25,66.5,13,89.7,1.7,4.1,43323,1,0,0,1,0,0
"2018-07-18",2.9,28.2,33.2,23.7,33,30,64.8,13,89.7,1.6,4.1,42609,1,0,0,1,0,0
"2018-07-19",3.2,28.7,34.1,23.2,29,23,64.1,12.9,89.6,1.6,3.2,42316,1,0,0,1,0,0
"2018-07-20",3.5,29.5,34.7,24.6,36,28,62.6,12.9,89.6,1.5,3.3,40337,1,0,0,1,0,0
"2018-07-21",4.2,30.6,36.9,24.9,35,28,53.6,12.9,89.6,1.5,3.6,32360,0,1,0,1,0,0
"2018-07-22",3.9,31.8,38,25.3,29,22,49.6,12.2,84.7,1.4,3.7,28250,0,1,0,1,0,0
"2018-07-23",1.7,31.7,35.7,29.2,31,24,53.8,8,55.6,1.8,4,38003,1,0,0,1,0,0
"2018-07-24",2.5,31.4,36.8,27.2,40,33,59.5,10.2,71.3,1.6,4,37486,1,0,0,1,0,0
"2018-07-25",1.3,30.1,34.1,27.7,32,24,66.3,5.2,36.4,2.4,3.8,39225,1,0,0,1,0,0
"2018-07-26",1.7,30.1,33.7,27.3,40,29,68.8,4.4,30.8,1.5,3.4,37796,1,0,0,1,0,0
"2018-07-27",3.1,30.9,35.4,27.2,43,30,69.3,9.3,65.5,1.9,3.7,34985,1,0,0,1,0,0
"2018-07-28",7.5,29.5,35.2,28,31,21,77.1,3.4,23.9,1.2,3.6,24649,0,1,0,1,0,0
"2018-07-29",2,31.3,36.7,26.4,18,12,52.4,12.3,86.6,1.2,2.9,28317,0,1,0,1,0,0
"2018-07-30",1.2,31.7,36.9,26.2,9,6,50.9,11,77.5,1.2,2.4,36701,1,0,0,1,0,0
"2018-07-31",3,32.6,38.3,27.8,15,9,50.5,12,85.1,1.5,3.6,35262,1,0,0,1,0,0
"2018-08-01",4.8,33.6,39.6,27.8,29,17,55.5,12.6,89.4,1.7,4,31169,1,0,0,1,0,0
"2018-08-02",3.5,33.7,37.9,30.3,29,19,54.4,9.8,69.5,1.6,3.2,31321,1,0,0,1,0,0
"2018-08-03",3.6,33.1,37.9,30,41,30,55.3,10.5,75,1.9,4.2,31646,1,0,0,1,0,0
"2018-08-04",4.9,31.1,34.9,28,24,17,60.6,12.1,86.4,2.4,4.6,28174,0,1,0,1,0,0
"2018-08-05",2,30,33.9,27.2,24,15,71.8,10.1,72.1,2.6,4.9,26989,0,1,0,1,0,0
"2018-08-06",6.5,30.5,35.3,28.3,28,18,71.6,7.3,52.5,1.6,4.4,29113,1,0,0,1,0,0
"2018-08-07",3.1,30.5,35.9,26.8,17,11,63.4,8.5,61.2,1.5,3.7,36983,1,0,0,1,0,0
"2018-08-08",2.9,31,35.3,27.6,24,15,64.8,10.8,77.7,2.1,4.6,37140,1,0,0,1,0,0
"2018-08-09",2,28.8,32.5,27.1,23,16,76.3,2.6,18.8,1.5,4.2,32216,1,0,0,1,0,0
"2018-08-10",2.3,30.7,36.8,25.7,14,9,60.9,11.4,82.6,1.4,3.6,36178,1,0,0,1,0,0
"2018-08-11",1.8,31,36,26.4,9,5,55.8,11.5,83.3,1.5,3.3,31293,0,1,0,1,0,0
"2018-08-12",5,30.6,35.3,27.2,14,9,61.3,8.4,61.3,1.5,3.7,27363,0,1,0,1,0,0
"2018-08-13",1,30.5,34.4,26.7,30,21,68.6,6.3,46,1.4,3.2,36076,1,0,0,1,0,0
"2018-08-14",2.1,31.7,37.2,27.7,24,15,58.3,9.5,69.3,1.3,4,37659,1,0,0,1,0,0
"2018-08-15",1,31.7,38,28.3,27,18,59.5,9.5,69.9,1.2,5.8,29270,1,0,0,1,0,0
