"date","rental"
"2021-06-16",103928
"2021-06-17",94511
"2021-06-18",61967
"2021-06-19",104345
"2021-06-20",95915
"2021-06-21",111682
"2021-06-22",93978
"2021-06-23",103936
"2021-06-24",113160
"2021-06-25",111385
"2021-06-26",86367
"2021-06-27",65263
"2021-06-28",100824
"2021-06-29",94257
"2021-06-30",96922
"2021-07-01",108519
"2021-07-02",106609
"2021-07-03",38821
"2021-07-04",35664
"2021-07-05",86630
"2021-07-06",108779
"2021-07-07",77397
"2021-07-08",90105
"2021-07-09",98892
"2021-07-10",93288
"2021-07-11",74548
"2021-07-12",99827
"2021-07-13",92743
"2021-07-14",98438
"2021-07-15",97536
"2021-07-16",88254
"2021-07-17",99166
"2021-07-18",96389
"2021-07-19",56311
"2021-07-20",95522
"2021-07-21",90297
"2021-07-22",91880
"2021-07-23",88691
"2021-07-24",86549
"2021-07-25",87187
"2021-07-26",90230
"2021-07-27",96476
"2021-07-28",95464
"2021-07-29",95301
"2021-07-30",99058
"2021-07-31",91045
"2021-08-01",52838
"2021-08-02",78122
"2021-08-03",93689
"2021-08-04",99322
"2021-08-05",98388
"2021-08-06",75635
"2021-08-07",96141
"2021-08-08",74330
"2021-08-09",103363
"2021-08-10",104926
"2021-08-11",105009
"2021-08-12",104489
"2021-08-13",101366
"2021-08-14",99972
"2021-08-15",98968
"2021-08-16",101466
"2021-08-17",99568
"2021-08-18",102192
"2021-08-19",106662
"2021-08-20",108484
"2021-08-21",39155
"2021-08-22",81989
"2021-08-23",69006
"2021-08-24",58555
"2021-08-25",80972
"2021-08-26",82607
"2021-08-27",86762
"2021-08-28",95448
"2021-08-29",84582
"2021-08-30",98262
"2021-08-31",37033
"2021-09-01",74159
"2021-09-02",97791
"2021-09-03",108379
"2021-09-04",106437
"2021-09-05",101914
"2021-09-06",84023
"2021-09-07",28482
"2021-09-08",100229
"2021-09-09",107481
"2021-09-10",111318
"2021-09-11",105524
"2021-09-12",110793
"2021-09-13",113655
"2021-09-14",114115
"2021-09-15",107577
"2021-09-16",112343
"2021-09-17",112932
"2021-09-18",106729
"2021-09-19",99592
"2021-09-20",111754
"2021-09-21",45723
"2021-09-22",101377
"2021-09-23",109888
"2021-09-24",109912
"2021-09-25",78174
"2021-09-26",105664
"2021-09-27",102267
"2021-09-28",89513
"2021-09-29",51854
"2021-09-30",98762
"2021-10-01",64074
"2021-10-02",103694
"2021-10-03",111616
"2021-10-04",74715
"2021-10-05",84829
"2021-10-06",62690
"2021-10-07",72078
"2021-10-08",69384
"2021-10-09",79124
"2021-10-10",49488
"2021-10-11",84585
"2021-10-12",96629
"2021-10-13",108225
"2021-10-14",109615
"2021-10-15",96144
"2021-10-16",68281
"2021-10-17",68150
"2021-10-18",85381
"2021-10-19",85528
"2021-10-20",87708
"2021-10-21",94180
"2021-10-22",92614
"2021-10-23",88573
"2021-10-24",86741
"2021-10-25",97650
"2021-10-26",94744
"2021-10-27",100279
"2021-10-28",98694
"2021-10-29",105100
"2021-10-30",91531
"2021-10-31",95657
"2021-11-01",96397
"2021-11-02",92045
"2021-11-03",94092
"2021-11-04",88975
"2021-11-05",91803
"2021-11-06",90727
"2021-11-07",102105
"2021-11-08",43583
"2021-11-09",52314
"2021-11-10",64224
"2021-11-11",74324
"2021-11-12",72826
"2021-11-13",72730
"2021-11-14",83081
"2021-11-15",89357
"2021-11-16",85109
"2021-11-17",82590
"2021-11-18",82415
"2021-11-19",76307
"2021-11-20",35012
"2021-11-21",34283
"2021-11-22",57933
"2021-11-23",52538
"2021-11-24",69307
"2021-11-25",77688
"2021-11-26",68683
"2021-11-27",60146
"2021-11-28",60980
"2021-11-29",80544
"2021-11-30",33251
"2021-12-01",42894
"2021-12-02",47894
"2021-12-03",52713
"2021-12-04",45874
"2021-12-05",46650
"2021-12-06",59363
"2021-12-07",60628
"2021-12-08",60066
"2021-12-09",60414
"2021-12-10",53756
"2021-12-11",50035
"2021-12-12",38828
"2021-12-13",44706
"2021-12-14",55840
"2021-12-15",53894
"2021-12-16",58093
"2021-12-17",34871
"2021-12-18",27272
"2021-12-19",37310
"2021-12-20",57458
"2021-12-21",58188
"2021-12-22",53680
"2021-12-23",54660
"2021-12-24",38142
"2021-12-25",23247
"2021-12-26",23647
"2021-12-27",36222
"2021-12-28",40089
"2021-12-29",44095
"2021-12-30",40511
"2021-12-31",37280
