"precipitation","temp_mean","PM10","PM2.5","humidity","sunshine_rate","wind_mean","rental"
1.7,4.6,43,31,65.8,67.5,2,13324
1.7,6.4,52,35,51.3,83.1,2,15136
1.8,8,80,52,45.8,63.6,1.4,15913
1.8,12.4,59,37,60.5,55.9,1.8,19514
1.8,17,22,11,58.8,66.4,2.3,24911
27,12.4,18,12,92.1,0,2.1,7091
1.8,7.1,12,6,46.9,91.7,1.9,18415
1.8,6.6,26,16,48,75.8,1.5,20165
0.5,8.2,52,36,55.9,0,1.2,11740
1,8,30,23,64.5,0,2.5,10297
1.4,4.7,18,7,39.9,44.6,3.4,13205
1.8,7.9,32,22,57.9,73.6,1.1,23925
1.8,19.2,70,47,61.6,67.2,1.6,32629
0,20.4,52,36,72.8,23.4,1.5,34593
12,15.1,41,30,90.4,0,1.9,8374
1,11.2,24,12,62.4,59.4,2.7,25963
1.8,14.1,37,15,45.5,89.9,2.7,34058
1.8,18.3,34,17,46.8,79.1,2.6,37389
22,16.6,13,8,86.4,23,1.1,19809
1.8,19.2,30,16,60.3,51.1,1.2,40026
1.7,17.5,15,7,50.9,80.7,1.7,33738
1.8,15.7,19,7,50.4,90,1.7,37851
1.7,15.4,35,18,67.4,87.9,2.3,36549
32,14.2,27,17,89.3,0,0.9,3551
0.5,15.8,18,12,82.5,48.9,1.9,35668
2.2,18.2,58,37,71.4,50.7,1.4,35918
0,23.2,66,46,56.4,62.7,1.1,36476
45,22.3,32,22,93.8,0,1.9,7072
83,20.9,13,8,97,0,1.4,3802
0.8,17,9,5,32.1,29.4,1.4,39036
1.7,17.8,8,5,43.9,61.5,1.4,42039
1.8,20.3,56,25,47.4,32.4,1.7,39534
1.8,22.3,41,20,49.8,86.2,1.6,40775
1.8,23.8,35,20,50.4,88.4,1.9,41970
1.8,23.4,43,27,44.5,87.7,2,41677
1.8,22.6,36,24,50.1,63,1.9,44014
1.7,23.7,32,22,52.5,77.6,1.7,44118
1.8,25,38,23,45.1,83.8,1.8,47478
71.5,22.3,51,34,88.3,0,2.4,6391
14.5,24.4,50,34,83.8,3.4,0.9,26911
83.5,21.9,11,8,94.6,0,0.8,4358
59.5,22.6,10,7,95.4,0.7,0.7,6261
0.1,27.4,11,8,74.4,68.7,0.8,41350
1.8,23.9,6,3,57.8,17.7,1.8,49521
1.7,23.7,7,5,51.4,0,1.6,48015
1.7,23.3,11,8,51.5,65.1,1.5,48132
14,20.8,9,7,82.3,0,1.1,8155
16.5,23.7,19,13,87.8,0,0.7,27956
3,26.8,34,23,82.9,0.7,1.3,35390
1,26.6,28,18,82.4,7.5,1.5,43611
1.9,28.3,23,18,69.6,75.9,1.6,34957
1.7,28.7,24,20,64.3,89,1.7,40964
1.8,31.8,29,22,49.6,84.7,1.4,28250
1.7,31.7,31,24,53.8,55.6,1.8,38003
1.9,30.9,43,30,69.3,65.5,1.9,34985
7.5,29.5,31,21,77.1,23.9,1.2,24649
1.7,31.7,9,6,50.9,77.5,1.2,36701
1.8,32.6,15,9,50.5,85.1,1.5,35262
1.4,27.2,12,5,39.8,91.2,1.8,47634
5,26.6,21,12,71.4,50.7,2.5,41964
1.7,25.2,21,12,68,54.1,2.6,47109
2,23.2,16,10,70,38.6,1.2,32200
19.5,22.7,8,6,91,0,0.8,23382
96.5,23.7,10,6,92.4,0,0.9,13495
0.1,25.6,22,14,67.4,77.7,1.6,46101
1.8,25.5,17,9,59.4,81.5,1.3,43847
1.8,25.1,12,7,55.8,70.8,1.5,48427
34.5,23.3,14,8,85.3,0,1,16086
1.9,23.2,14,7,69.4,85.3,2.2,50500
1.7,24,24,10,63.5,91.5,2.5,53984
1,24.1,31,17,69.9,17.2,2,46532
0.5,22,24,13,54.6,85.2,2.5,53230
1.8,21.7,22,11,48.8,92.1,1.7,55470
1.8,22.2,19,10,49,78,1.2,54213
1.8,22.9,11,5,49.5,81.1,1.6,55188
1.8,21.6,12,5,48.1,66.7,1.5,56212
1.7,22.8,15,7,52,89.7,1.4,57363
1.7,23.5,16,7,63.5,40,1.2,55791
0.5,23.5,17,10,66.9,12.8,1.3,49383
0.2,23.3,11,6,76,6.4,1,44808
2,22.2,34,21,83.6,0,1.7,24317
0.1,22.3,23,14,64.3,87.1,1.9,55335
1.8,22,31,16,59.8,64.2,1.2,57691
0.2,22.1,35,18,59.1,17.1,1,44096
5,19,13,8,82.4,0,1.8,23616
18,19.4,7,4,85.8,4.9,1.3,32242
6.5,20.8,27,11,62.3,88.5,1.8,49688
0,19.4,26,10,52.9,61.2,1.6,38635
1.8,17.6,13,6,48.3,90.9,2.1,36406
1.8,17.8,14,7,48,82.6,1.1,49595
1.8,19.4,8,5,47.9,70,1.7,57730
1.8,18.9,9,5,47.6,85.8,1.3,58200
1.8,17.5,12,7,58.1,29.4,1.2,59649
1.8,20.2,14,9,55.5,90.8,1,63866
1.7,17.6,19,10,52.5,87.4,2.3,55893
0,15.4,16,9,55.1,66.9,2.9,51808
1.8,15.9,22,13,61.4,91.5,1.6,57280
1.8,17.3,24,14,58,90.6,1.3,64671
1.8,19.3,21,12,56.5,76.1,1.3,59413
36.5,16.9,11,6,84.1,0,1.7,7772
55.5,18,5,3,84,25.9,2.2,32510
1.7,16.4,23,10,53.5,90.5,1.7,57873
1.8,14.8,20,8,47,90.5,1.1,57247
0,15.3,23,12,52.5,20,1.1,61525
7,12,18,11,61,56.5,2.5,44876
1.7,9.7,17,9,51,81.6,2.1,44489
1.8,10.9,22,13,54,88.6,1.3,48529
1.8,12.5,29,18,54,87.7,1,49203
1.8,13.2,30,20,60,87.6,1.5,49025
1.9,15.2,49,32,69.9,60.2,1.4,49503
1.8,14.5,42,23,55.9,73.2,1.3,51236
1.7,12.4,33,17,53.3,89.3,1.3,49795
1.8,12.7,14,8,59.5,72.3,1.1,49560
1.8,13.1,19,10,54.3,89.2,1.4,52122
1.7,13.4,36,19,53.9,87.4,1.2,49815
1.8,13.4,32,20,49.5,87.3,1.1,48346
1.8,14,42,28,50,69.1,1,49889
5,12.2,50,30,75.1,48.2,1.1,40223
1.7,12.5,39,17,66,88.1,1.3,50343
1.8,13.8,36,19,55.5,79.8,0.9,52181
11,12.2,32,17,74.1,22.2,1.6,24308
1.8,8.7,24,6,49.6,74.1,3.2,33699
5.5,8.3,13,7,77.1,25.9,1.5,20882
0,7.2,16,8,57.3,60.7,2,36107
0,6.1,21,10,51.3,85,1.6,37382
0,7.4,20,12,55.4,86.9,1.6,39009
1.7,8.4,31,18,53.4,86.8,1.3,41911
1.8,10.6,39,24,54.9,86.8,1.1,44917
1.8,11.2,47,30,56,85.8,1.3,40640
1.8,11.6,40,27,55,85.7,1.3,39973
1.6,11.9,53,33,65.5,75.2,1.1,43870
2,12.2,89,61,70.5,39,0.9,39680
2,12.8,56,38,79.5,4.8,1.1,29492
64,11.8,9,5,93.8,0,1.8,2730
1,12.1,38,20,69,62.5,3.1,34673
0,11.9,69,39,69.1,78.6,1.4,34194
0,8.1,64,37,67.6,13.6,1.1,23926
1.7,8.1,27,14,52.3,86.4,1.2,38706
1.7,8.8,39,23,51.6,86.3,1.1,40263
1.8,9.8,31,19,55.5,85.3,1.1,41973
1.8,9.7,45,30,55.4,76.5,1,39702
1.7,8.8,55,36,65.1,51,1.7,37629
1.7,4.9,31,18,50.8,51.5,1.4,28167
1.8,6.5,56,29,50.4,57.4,1.4,34352
0.2,6.5,40,17,39.9,88,1.8,34855
1,5.8,30,15,57.1,0,1.2,28140
0.9,2.3,19,10,35,86,2.4,29239
1.1,1.9,23,11,29.6,86,1.4,28620
10.9,2.6,23,12,71.1,16.2,1.8,11255
3.6,4.8,44,31,77.8,69.7,1,19946
2,6.3,57,38,70.1,86.9,1,30698
1.7,7.1,108,48,65,11.1,1.5,28806
1.8,5,110,19,27.1,69.4,1.6,29177
0,3.5,70,20,41.4,2,1.3,28977
1.8,2.7,59,20,46.1,87.8,1.4,28557
1.6,5.5,44,23,42.3,79.6,1,24622
1.8,8.2,46,23,50.1,27.6,1.3,23035
9.5,11.5,44,21,87.4,0,1.4,10638
5,6.7,33,15,74.9,21.6,2.7,20029
1.4,0,26,11,39.5,32,1.5,23535
0,2.4,36,16,50.5,63.9,2.3,23788
1.1,-7.3,22,9,37.1,89.7,3.8,15148
1.1,-8.3,23,9,37.1,89.7,2.6,9824
1.8,-7.2,21,10,27,80.4,1.5,8749
0.8,-2.5,32,18,33.3,83.3,0.9,17987
1.8,0.2,41,25,44.8,1,1.2,20805
1.3,-1.9,45,23,39,90.6,2.2,19339
1.3,-2.2,39,23,57.4,50,2,11765
1.8,-4.4,32,17,44.3,90.6,1.7,14932
1.8,-2.4,56,37,46.8,83.3,1,12720
0.3,0,55,39,63.8,11.5,0.9,10783
0.3,1.6,72,45,60.1,86.5,1.8,17449
1.8,2.6,44,23,56.3,75,1.4,20917
1.7,4,50,28,53.4,81.3,1.4,21970
1.8,3.4,55,37,45.5,78.1,0.9,22881
1.4,5.6,69,44,40.1,33.3,1.1,23422
1.8,6.9,81,56,48.9,81.3,1.5,17127
1.7,2.4,48,27,43,86.5,2.9,13601
0.9,-2.3,21,11,35.9,91.7,1.6,16579
1.7,0.6,35,20,53.4,32.3,1.2,12437
1.5,-1.5,49,26,40.8,86.5,2.8,17112
1.4,-10.1,26,9,28.3,90.6,3.5,11325
0.8,-10.5,33,13,33,90.6,2.5,10445
1.2,-7.6,36,9,29,90.6,2.9,8083
0.9,-6.8,30,15,35.9,90.6,1.2,7864
1.4,-5.4,45,29,39.6,86.5,1.2,11911
1.8,-5,35,22,49.5,78.1,2.1,8601
1.7,-4.9,31,19,42.8,90.6,1.7,14360
1.3,-3.5,36,21,38.8,89.7,1.4,16344
1.8,-1.1,56,36,55.5,40.2,1.2,17308
1.5,-2.8,62,37,40.3,88.7,2.2,12380
0.9,-2.8,44,19,35,79.4,1.2,11094
1.8,-1.9,50,30,46.4,72.2,1.4,16795
0.9,-3.5,39,17,31,89.7,2.6,15833
1.3,-4.7,44,19,28.8,76.3,1.3,15819
1.8,-0.6,54,29,48.8,31.6,1.3,17894
1.8,2.4,70,46,58.8,70.4,1,19271
1.8,2.8,93,64,47.6,61.2,1.3,14519
1.8,1.2,102,67,54.3,87.8,1.4,11751
1.8,1.4,158,112,68.6,4.1,0.9,14818
0,-1.7,130,79,58.8,47.5,2.7,14761
0,-5.2,45,16,45.9,86.9,2.3,15823
0,-0.3,40,19,45.8,87.9,1.7,17960
1.7,0.6,49,29,44,85.9,1.3,18901
1.8,3.6,90,58,59.8,29.3,1.2,14883
1.2,-1.4,62,30,38.5,88,3.2,11191
0,-1.2,42,20,57.8,10,1.6,17240
1.7,1.7,62,26,62,85,1.7,19885
1.8,2,71,42,48.9,86,2.3,19163
0.9,0.1,38,19,34.9,87.1,1.7,20057
1.6,-1.2,40,18,27.6,86.1,2.6,18159
0.9,-2.5,38,17,30.9,87.1,2.4,13203
1.7,-0.1,37,19,52.5,65.7,1.7,12440
0,1.2,75,21,40.4,85.3,3.1,17317
0.9,-0.2,61,19,35.5,85.3,1.5,19477
1.8,1.8,56,27,54.6,74.8,1.5,20677
1.2,-2,65,20,29,33,2.9,17649
0.3,-2.1,37,16,47.6,55.3,1.7,17696
0,1.4,54,31,60,15.5,1,13742
16,3.3,37,24,92.9,0,1.7,2010
1.5,-0.6,70,34,40.4,82.7,2.1,8562
1.1,2.8,72,24,37.1,74.3,1,9119
1.8,5.1,85,29,54.9,31.4,1.3,13694
0.5,-2.1,61,29,45.5,82.9,3.5,14533
0.8,-6.1,29,15,31.5,79.2,2.3,14782
1,-5.4,32,15,30,87.7,2.7,11760
0.9,-5,39,20,31.3,20.8,1.7,9759
0.9,-3,35,20,34.9,87.9,2.3,16881
0,-0.6,53,33,35.5,79.4,1.9,18862
2,-2.1,34,18,26.6,86,2.4,18411
3.1,-0.5,43,21,24.3,85.2,1.4,19376
2.2,-0.8,36,24,72.8,0,1.9,9213
0.2,-2.7,56,44,59,80.7,2.6,12641
1.8,-1.8,32,22,47.4,89.9,1.9,13390
1.7,0.9,36,22,43.5,51.4,1.3,19916
4.6,1.4,38,28,80.8,5.5,1.4,11689
0,1.7,52,42,67.8,20,2.1,19572
1.8,2.4,74,60,59.4,87.3,1.5,20995
1.8,4,65,49,56.1,85.6,1.5,21727
1.5,6.8,46,32,41,82,1.1,23742
1.8,6.3,52,39,45,89.3,1.8,21933
1.8,4.7,78,57,55.8,71.4,2.3,23445
0.8,5.2,47,25,32.8,84.8,1.6,28010
0.9,7.8,59,39,31.3,69,1.6,28652
1.4,6.6,76,50,39.5,71.7,2,27431
1.6,6.6,105,74,42.3,87.6,2.1,21751
1.1,7.8,103,74,37.6,65.8,1.1,22503
1,9.4,89,64,36.4,69.3,1.5,24382
1.8,9.9,138,97,46.1,80,1.9,26887
1.7,8.4,171,124,66.3,21.7,2,24042
1.8,8.4,128,89,55,26.1,2,25379
1.7,7,50,36,51.1,87.1,2.2,31156
1.4,6.1,44,25,39.4,92.2,1.9,33073
0,5,36,17,45.3,58.8,1.9,30997
3.5,5.5,62,34,72.8,23.5,1.6,20481
1.7,7.1,35,21,43.8,72.5,1.4,36313
1.7,10,58,34,52,68.6,1.4,39908
16.5,10.3,87,63,79,0,1.4,16204
3.3,7.1,29,21,77.4,32,2.9,26455
1.5,3.3,35,19,40.9,91,2.8,32363
1.7,3.3,22,14,46.9,64.8,2.4,21696
1.8,4.3,28,13,45.4,91.9,2.3,31622
1.8,7.3,41,23,56.1,13.8,2,34226
1.7,11.4,52,30,51.1,79.8,2,42644
1.7,11.6,78,47,66.4,27.4,3,35832
1.8,9.4,78,46,49.9,79.8,2.6,38806
0.8,9.2,35,17,33.1,84,2.1,43893
1.8,5.2,33,20,72,24,2.9,14001
0,4.4,39,24,46,25.4,3.2,22326
1.4,5.5,23,12,39.8,92.9,2.5,37660
1.1,6.7,30,16,36.9,92.9,2.2,42029
1,7.6,34,20,36.1,92.1,2.3,43257
1.7,9.2,32,17,43,92.1,2.5,45681
0,11.4,65,19,41,72.7,2.9,45643
0.8,9.3,51,16,39.9,3.9,1.1,25902
1.7,12.6,31,13,43.1,89.1,1.7,55943
2.4,11.6,32,11,25.6,84.5,2.5,52643
17.4,9.2,23,10,49.1,6.2,2.4,24734
5.6,7.1,6,3,78.4,8.5,1.8,26421
1.8,9.5,21,12,58,75.4,1.9,51013
1.8,11.4,45,25,48.5,87.7,2.2,55125
0.8,11.8,44,29,34,82.4,1.8,57020
1.7,9.6,32,18,45.5,38.2,2.2,28467
0.9,11.6,45,15,30.9,91.7,1.8,55422
2.1,14.9,41,20,26.3,87.1,1.6,60566
1.1,15.3,34,17,37.5,92.4,1.9,62522
0,12.6,31,16,74.4,11.3,2,50439
1.8,13.8,35,16,57.5,44.4,1.6,60925
1.2,14.3,38,19,66.9,37.6,1.9,51068
0.3,14.8,25,17,77.8,30.6,1.9,53339
1.8,19.3,72,27,50.6,82.8,1.4,63995
0,20.4,79,34,52,31.3,1.3,58811
4.1,19.5,50,30,70.4,59.3,1.6,55815
11.3,13.2,37,15,75.9,0,2,22471
4.9,8.4,8,4,82.1,0,1.5,26484
1.7,11.6,16,9,52.6,75.7,1.7,65124
0,12.9,18,11,48.8,25,1.6,56012
1.7,13,20,12,52.9,24.1,0.9,63256
1.7,15.5,31,17,52.8,81.8,1.6,70213
1.8,16.4,49,20,48.9,79.6,2.3,76439
1.3,17.1,49,13,28.5,92,2.3,72430
1.1,17.9,52,22,37.5,89.9,1.6,73647
1.5,19.5,78,44,40.4,77.5,1.7,66392
0.9,19.2,57,35,35.8,79.9,2.2,66911
0,14.5,29,9,27.1,92.1,3.1,74806
0.8,15,42,14,33.4,92.8,2.3,70506
1.8,15.6,44,18,48.3,87.1,2.3,70426
1.7,16.6,43,19,43.3,86.4,2.2,71707
1.8,17.8,52,27,48,87.9,1.9,74960
1.3,20.3,55,29,39,90.1,1.8,76110
1.8,23.6,45,29,44.9,29.6,1.2,79158
0,22.8,24,13,46.8,30.1,2.1,79583
1.7,17.2,45,14,52,91.6,2.9,80599
1.8,19.5,50,22,46,87.5,2.4,80735
1.8,22.1,60,34,45,91.7,1.7,78504
1.8,24.2,67,41,46.4,88.2,1.7,77190
1.8,23.4,68,43,45.6,49.3,1.6,75791
1.3,24.5,33,20,39,75.9,1.8,74327
7.1,17.8,21,13,80.9,0,2.4,30670
1.8,18.1,22,7,45.9,89.7,2.6,83654
1.8,20.3,39,17,48.4,91.7,2,83496
0,19.6,43,20,48,48.3,2.4,73814
1.8,19.1,18,9,49.6,84.2,2.8,83765
1.8,18.9,29,19,60.5,64.4,1.9,79878
1.6,21.1,31,18,42.1,89,1.7,77091
1.7,23.1,34,18,42.9,84.2,1.8,82911
1.8,22.6,26,16,56.4,87.7,2.2,83576
1.7,23,40,23,63.8,61,1.8,81515
7.5,21.2,48,27,75.9,0,1.2,36945
35.3,20,11,6,77.3,25.2,1.9,54701
1.8,21.9,20,12,57.5,63.3,1.4,83736
2.5,21.6,28,20,66.1,28.6,1.8,60371
9.5,18.4,10,5,70.3,4.1,1.6,63032
1.7,20.5,11,5,51.1,72.8,1.4,85776
1.8,21.5,25,13,57.1,88.4,1.8,83506
1.7,23,24,15,51.9,83.7,1.7,81540
1.8,23,25,18,54.8,41.2,1.8,85533
2.1,21.9,29,17,61.5,82.4,2.4,71883
1.8,22,12,8,55.4,75,1.6,81803
0,21.7,20,12,59.1,85.8,2.3,86987
13.8,20.8,25,16,78.6,13.5,1.5,42393
0.2,21.4,27,19,77.8,6.1,1.9,79958
2,22.7,24,16,70.6,46.6,1.9,88226
0.2,22.1,24,15,72.9,23,1.7,81089
1.6,24.2,11,6,42.3,87.8,1.5,85728
1.5,25,11,6,40.4,87.2,1.8,79269
1.8,25.2,20,12,46.9,91.9,2,88432
1.8,25.6,29,18,49.1,90.5,1.6,88096
0,25.5,31,20,52.6,7.4,1.3,81274
1.4,25.5,18,12,70.5,26.4,1.4,79234
0,24.7,40,28,67.3,16.2,1.7,77056
1.5,23.1,22,15,72,27.7,1.2,67346
0,23.9,31,22,73.5,35.4,2.3,74994
1.7,23.9,31,21,64.4,74.1,2.3,92814
1.7,24.4,28,19,63.5,81,2.3,94783
1.7,24.1,29,20,64.6,22.4,1.7,94773
1.8,25.4,28,17,59.6,86.4,1.9,90397
0,27.6,32,20,42.1,80.3,1.5,83994
1.5,29.7,29,21,40.9,80.3,1.7,70246
1.7,26.7,19,12,43.3,66.7,2.2,75116
1.8,25.1,10,5,46.6,63.7,2,93609
1.8,25,10,6,46.4,52.7,1.8,95859
8.5,22.7,10,6,64.1,21.2,2,43842
2.9,21.9,8,4,76.9,0,1.3,65003
1.6,23.6,14,8,65.5,47.9,2,94473
0,24.9,30,22,67.3,28.1,1.7,81067
1.7,25.9,38,29,64.6,53.8,1.6,74259
7.7,23.8,33,23,80,0.7,1.1,57917
6.3,24.7,25,19,79,27.6,1.3,82285
0.7,25.6,57,41,73.9,6.9,1.2,84261
1.7,26.9,64,48,65,22.1,1.2,81613
0,28.6,34,17,61.3,68.1,1.5,77449
1.1,28,9,5,66.9,8.3,2.1,56648
6.2,25.1,15,10,87.1,4.2,2.2,46130
0.1,26.7,43,32,74.6,42.4,2.2,82781
2.1,28.1,26,17,70.8,27.8,1.7,83206
1,26.5,24,16,82.3,0,1.6,59020
9.7,26.3,25,17,90.1,0,1.2,34778
60,25.1,18,13,95.3,0,1.7,22789
0.6,28.4,20,12,76.6,32.9,1.3,50955
25.6,26.1,15,NA,88.3,0,2.2,23342
0.5,27.5,14,12,74.5,18.3,2.6,74046
1.2,28.1,19,12,75.3,11.3,3.4,69757
62.3,25.8,17,12,91.1,0,2.2,26874
26.9,26.3,14,9,86.4,34.8,1.7,59803
2.8,28.4,19,13,74.6,58.9,1.2,67510
3,29.4,21,15,69,75.7,1.3,49047
8.6,28.3,27,NA,75.9,61.4,1.2,46477
1.6,30.5,37,31,65.5,80,1.1,65085
1.7,31.6,27,23,51.4,71.2,1.5,66703
8,26.9,20,13,78.1,13.7,1.2,50804
0,28.9,40,33,71.4,54,1.6,69748
1.8,29.8,27,20,69,77.7,1.3,67491
1.8,31.5,20,13,57.9,84.1,1.5,54162
6.7,30.4,17,12,53.6,71,2.5,43351
56.2,26.6,19,14,91.8,2.2,1.3,24386
6.4,29.2,22,15,76.9,53.3,1.5,63749
1.7,30.4,17,11,63.9,67.2,1.5,65452
16.2,25.9,9,5,82,0.7,1.3,32229
0.1,25.9,16,10,74.5,55.1,2.2,71161
0,25.9,31,21,69.5,59.6,2.5,72259
1.7,25.6,21,15,66.5,79.3,1.7,72588
1.8,26.3,23,17,60.6,82.2,1.1,81832
1.8,28.2,28,22,56.3,77.8,1.5,82116
1.3,27,29,23,67.3,23.9,1.2,56957
1.7,26.9,39,30,66.5,79.9,1.7,82232
1.8,26.2,31,20,58.4,89.6,2.1,86624
1.8,24.1,22,12,60.9,22.6,1.5,85630
1.7,25,20,14,66.6,74.4,1.5,81028
1.7,26.4,25,17,63.8,69.7,1.2,87770
20,25.7,25,19,71.1,42.4,1,83107
1.7,26.1,29,21,66.2,0,1.9,88718
36.9,23.4,26,21,77.1,37.4,2.2,65708
0.2,22.6,20,11,66.3,67.2,2.4,86733
1.7,23.5,19,11,65,92.4,1.9,90724
1.7,23.7,19,13,64,53.1,1.4,89191
1.8,24.4,25,16,56.6,56.9,1.6,92510
0,24.1,23,15,67.6,22.5,2.3,74801
22.7,22.8,6,3,89,8.5,2.5,27168
36.4,23,9,6,91.4,11.6,2,33929
2.4,25.3,13,8,79.8,3.1,2.1,16631
0,25.1,35,26,74.3,15.7,1.7,68370
63.2,23.8,13,9,93.4,7.9,2.4,18265
7.6,24.3,6,4,71.4,54.8,3.1,75328
3.9,21,15,5,72.3,0,2.6,32059
0.1,23.3,16,6,60.4,87.2,1.7,57065
0.3,22.4,20,11,80,1.6,1.2,48756
2,24.2,16,10,70.4,84.8,1.7,82678
1.7,24.5,14,7,53,75.8,2.1,89807
1.6,23.5,16,9,41.6,85.5,2.1,92153
1.8,21,29,13,46,94.4,3.1,92045
1.8,19.5,27,11,46.5,82.9,1.9,91554
1.7,19.6,23,10,52.8,10.6,2.1,94246
1.8,19.6,17,9,60.3,0,2,86676
0.4,18.6,5,4,63.4,0,3.8,41173
1.7,20,12,6,51.1,73.8,2.2,92006
1.8,19.8,22,13,61.3,94.2,1.8,93546
1.7,20.9,27,17,64.4,72.7,1.4,92665
1.8,22.9,26,17,59.3,67.5,1.9,92247
1.8,22.9,21,13,57.5,29.2,1.9,93345
1.8,23.7,28,20,58.9,84.2,1.7,89550
1.8,22.6,35,27,60.6,93.3,1.7,86133
1.8,22.4,45,33,61,88.2,1.6,88270
1.7,23.1,45,34,67.1,63.6,1.8,88575
4.6,22.4,8,4,73.4,50.8,2.8,75438
2.2,22.4,23,16,71.5,84.6,2.1,94912
0.6,18.7,40,25,72.6,19.7,2.9,83020
1.7,18.1,11,5,53.4,81,2.9,82855
25.4,14.8,11,7,92,0,1.8,21875
1.8,14.7,21,11,58.8,88.8,2.6,81524
1.8,15.2,28,16,60.9,9.6,1.3,81742
1.8,18.8,33,21,60,90.4,1.9,92155
1.8,17.9,23,12,49.3,92.1,3.5,84843
1.7,17.2,18,9,52.6,93,1.9,84368
1.8,14.4,30,18,56.9,89.4,2.5,79509
1.8,14.5,17,9,55.6,68.1,1.6,85516
1.8,14.6,24,15,58.3,87.5,1.6,84549
1.8,15.4,28,18,56,66.1,1.7,85596
1.8,17,17,11,58.3,71.4,2.4,89551
1.7,17,20,11,63.8,91.9,1.8,87553
2,16.5,33,21,70.3,83.8,1.3,79300
1.8,17.1,39,26,61,86.5,1,84488
1.8,18.1,39,26,56.1,82.7,1.6,88478
1.8,17,22,15,57.3,6.4,2.4,87991
1.8,18.3,28,18,47.6,60.6,2.7,89520
0,16.7,23,11,58,65.1,2.4,84617
1.8,10,22,14,60,79.8,2.5,67578
1.8,11,23,14,59,90.7,1.6,65774
1.7,12.9,30,20,65.9,67.6,2.5,67175
0.1,12.5,65,15,61,83.3,2.3,71135
1.8,11.2,25,12,60.3,89.7,1.6,76898
2.6,14.8,66,23,73.8,74.8,2.3,76860
1.8,14.9,100,36,57.9,88.8,1.8,77604
1.8,13.6,66,35,57.3,31.1,1.5,68223
