"precipitation","temp_mean","temp_highest","temp_lowest","PM10","PM2.5","humidity","sunshine_sum","sunshine_rate","wind_mean","wind_max","rental"
1.8,-0.5,3.2,-6.9,66,39,47.4,5.3,50,3,6.3,4829
0,-6.1,-2.2,-9.5,44,13,42.5,6.6,61.7,2.7,5.1,3047
0,-5.8,-1.8,-9.6,41,13,40.8,8.7,81.3,2.7,5.2,5231
1.8,-0.8,4.3,-7.4,43,14,54.5,8.3,76.9,2.7,5.6,6863
1.7,3.5,8.7,-0.7,59,27,51,3.3,30.6,2.6,5.4,7477
1.5,-0.7,4,-3.7,32,14,28,0,0,2.5,4.4,3935
1.4,-1.1,4.9,-5.5,41,16,40.1,9.7,89,2.1,5.5,3047
1.9,-0.4,5.2,-4.9,30,14,26.9,7.2,66.1,1.3,3.5,5191
1.8,1.8,6.8,-1.9,51,33,48.6,4.8,43.6,1.5,3,8563
1.5,0.9,5.5,-2.4,51,32,41,8.3,75.5,2.5,5.8,8899
0.8,-0.9,4.4,-4.5,32,17,31.5,9.8,89.1,2.3,5.2,8342
0.4,1.3,5.4,-3.9,42,25,59,6.4,57.7,2.2,5.2,8580
3.7,4.2,8.6,-0.3,79,55,81.1,4.8,43.2,1.9,5,6408
1.8,2.4,7.2,-1.1,68,47,49.4,7.6,67.9,2.1,3.9,7198
1.5,1.9,7.9,-1.6,36,25,40.6,9.2,82.1,1.7,3.8,7595
1.7,3.1,10.4,-3.2,55,36,43.1,10.2,91.1,1.4,3.6,10712
1.8,4.2,6.9,0.6,82,55,48.8,0,0,0.9,1.8,10064
25,4.6,7.8,1.8,67,43,73.3,0,0,2,3.7,4230
0.5,-0.2,3,-4.3,35,26,61.9,8.7,76.3,3.8,6.9,5761
0.8,-0.7,5.4,-6.7,58,24,34,10.3,90.4,1.5,3.3,9388
0,7.9,16.2,-0.1,52,26,38.1,10.1,88.6,1.5,3.9,16029
11.5,9.8,11.9,7.6,28,19,89.1,0,0,1.2,3.5,5373
3.5,5.5,11.4,1.3,8,5,67.5,7,60.9,2,3.5,9943
1.8,4.5,10.9,-1.1,26,15,46.8,10.6,91.4,1.6,3.7,14028
0.5,6.4,10.7,2.2,25,14,54,3,25.9,1.8,3.2,12925
4,4.6,9.7,2.7,29,23,76,5.1,44,1.9,4.5,8812
1.7,4.5,9.6,1.4,41,31,63.3,5.1,43.6,1.5,4.2,13573
1.7,4.6,9.7,0.7,43,31,65.8,7.9,67.5,2,5.9,13324
1.7,6.4,12.2,2.7,52,35,51.3,9.8,83.1,2,4.2,15136
1.8,8,15.5,2.2,80,52,45.8,7.5,63.6,1.4,4.2,15913
1.8,12.4,18.8,5.2,59,37,60.5,6.6,55.9,1.8,4.3,19514
1.8,17,22.1,13.6,22,11,58.8,7.9,66.4,2.3,5,24911
27,12.4,16.6,8.4,18,12,92.1,0,0,2.1,4.8,7091
1.8,7.1,12.2,3.6,12,6,46.9,11,91.7,1.9,3.1,18415
1.8,6.6,14,0.5,26,16,48,9.1,75.8,1.5,3.8,20165
0.5,8.2,12.5,5.4,52,36,55.9,0,0,1.2,2.9,11740
1,8,10.4,6.2,30,23,64.5,0,0,2.5,4.2,10297
1.4,4.7,9.1,1.6,18,7,39.9,5.4,44.6,3.4,4.8,13205
1.8,7.9,15.4,0.1,32,22,57.9,9.5,73.6,1.1,2.9,23925
5,15.1,21.9,6.9,37,18,51,6.3,48.5,3.5,8.8,20423
1.8,12.6,17.3,8.7,53,20,49.4,11.8,90.8,3,6.1,25557
0.9,13.3,19.6,6.8,40,14,30.5,12,92.3,2.6,6.2,28885
3.9,14.6,19.3,8.3,29,13,22.9,2.7,20.6,1.3,3.7,29497
9,9,14.8,7.5,18,10,78.8,0.3,2.3,1.8,4.1,8216
1.6,9.5,14.2,5.6,61,17,65.5,8.6,65.2,2.4,4.9,12721
1.6,11.6,18.8,4.9,33,20,41.9,12.3,93.2,1.6,4.7,29589
1.2,12.9,20.1,6.8,50,25,37.9,12.2,92.4,1.9,5.5,28236
0.9,12.4,19.3,6.2,57,27,35.4,12,90.2,1.9,3.9,23499
1.3,14,20.5,7.4,70,32,38.8,11.4,85.7,1.9,5.1,20400
0.8,18.7,25.6,12.3,66,36,32,12.4,92.5,1.9,4.6,33144
15.5,15.5,21,10.7,33,18,57.4,0,0,1.1,2.9,8095
59,9.3,10.7,8.4,9,6,93.9,0,0,2.2,3,1037
3,12.1,16.1,8.9,7,4,63.3,0,0,1.4,2.8,24560
1.2,14.6,23.3,5.7,30,22,37.8,12.4,91.9,1.5,4.4,33728
1.7,14.9,22.1,10,39,26,51.9,11.7,86,2.1,5.1,32547
1.7,15.7,23.3,9.7,48,33,52.9,11.3,83.1,1.7,3.8,32989
1.8,15.4,21.7,10.5,56,35,49,12.4,91.2,2,4.8,33738
1.7,16.2,22.9,9.4,47,27,43.1,11.6,84.7,1.9,4.3,35159
1.8,19.2,25,14.1,70,47,61.6,9.2,67.2,1.6,3.6,32629
0,20.4,23.3,17.8,52,36,72.8,3.2,23.4,1.5,4,34593
12,15.1,19.7,8.7,41,30,90.4,0,0,1.9,5.2,8374
1,11.2,14.7,6.9,24,12,62.4,8.2,59.4,2.7,5.3,25963
1.8,14.1,20,8.8,37,15,45.5,12.4,89.9,2.7,5.9,34058
1.8,18.3,24.6,11.6,34,17,46.8,11,79.1,2.6,4.8,37389
22,16.6,20.7,15,13,8,86.4,3.2,23,1.1,3.9,19809
1.8,19.2,25.5,14,30,16,60.3,7.1,51.1,1.2,3.7,40026
1.7,17.5,22.9,11.6,15,7,50.9,11.3,80.7,1.7,2.7,33738
1.8,15.7,21.8,9.2,19,7,50.4,12.6,90,1.7,3.6,37851
1.7,15.4,21.4,11.3,35,18,67.4,12.3,87.9,2.3,5.4,36549
1.8,16.1,21.3,11.9,51,29,59.8,5.3,37.6,1.8,3.5,33923
32,14.2,16.1,11.8,27,17,89.3,0,0,0.9,2.9,3551
0.5,15.8,20,12.7,18,12,82.5,6.9,48.9,1.9,3.9,35668
2.2,18.2,24.5,11.9,58,37,71.4,7.2,50.7,1.4,3.4,35918
0,23.2,29.3,15.4,66,46,56.4,8.9,62.7,1.1,3.4,36476
45,22.3,24.4,21.8,32,22,93.8,0,0,1.9,6.1,7072
83,20.9,23.5,18.8,13,8,97,0,0,1.4,8,3802
0.8,17,22.6,11.5,9,5,32.1,4.2,29.4,1.4,2.8,39036
1.7,17.8,23.7,11.3,8,5,43.9,8.8,61.5,1.4,3.5,42039
1.8,20.3,24.7,17.3,56,25,47.4,4.7,32.4,1.7,4.1,39534
1.8,22.3,29.1,16.2,41,20,49.8,12.5,86.2,1.6,4.3,40775
1.8,23.8,30.2,17.5,35,20,50.4,12.9,88.4,1.9,4.3,41970
1.8,23.4,30.1,17.6,43,27,44.5,12.8,87.7,2,4.5,41677
1.8,22.6,27.5,18.9,36,24,50.1,9.2,63,1.9,4.4,44014
1.7,23.7,29.2,17.7,32,22,52.5,11.4,77.6,1.7,4,44118
1.8,25,32,18.2,38,23,45.1,12.4,83.8,1.8,4.3,47478
71.5,22.3,26.9,20.2,51,34,88.3,0,0,2.4,5.7,6391
14.5,24.4,27.9,21.6,50,34,83.8,0.5,3.4,0.9,5.1,26911
83.5,21.9,22.8,21,11,8,94.6,0,0,0.8,2.3,4358
59.5,22.6,25.3,20.6,10,7,95.4,0.1,0.7,0.7,2.9,6261
0.1,27.4,32.6,22.5,11,8,74.4,10.1,68.7,0.8,2.6,41350
1.8,23.9,27.1,21.5,6,3,57.8,2.6,17.7,1.8,3.4,49521
1.7,23.7,29.2,19.5,7,5,51.4,0,0,1.6,2.3,48015
1.7,23.3,28.1,17.7,11,8,51.5,9.5,65.1,1.5,2.8,48132
14,20.8,24.2,20.1,9,7,82.3,0,0,1.1,1.8,8155
16.5,23.7,26.5,20.4,19,13,87.8,0,0,0.7,1.6,27956
3,26.8,29.5,24.4,34,23,82.9,0.1,0.7,1.3,3.9,35390
1,26.6,28.2,25.1,28,18,82.4,1.1,7.5,1.5,3.6,43611
2.8,27.3,30.9,24.7,22,17,74.8,7,47.9,1.8,3.4,44976
0,27.9,31.9,24.6,20,15,69.6,11.3,77.9,1.9,4.2,39205
1.9,28.3,33.2,24.5,23,18,69.6,11,75.9,1.6,3.7,34957
1.7,28.7,34,24,24,20,64.3,12.9,89,1.7,3.6,40964
1.7,28.1,32.1,23.9,28,25,66.5,13,89.7,1.7,4.1,43323
1.7,28.2,33.2,23.7,33,30,64.8,13,89.7,1.6,4.1,42609
1.7,28.7,34.1,23.2,29,23,64.1,12.9,89.6,1.6,3.2,42316
1.7,29.5,34.7,24.6,36,28,62.6,12.9,89.6,1.5,3.3,40337
1.7,30.6,36.9,24.9,35,28,53.6,12.9,89.6,1.5,3.6,32360
1.8,31.8,38,25.3,29,22,49.6,12.2,84.7,1.4,3.7,28250
1.7,31.7,35.7,29.2,31,24,53.8,8,55.6,1.8,4,38003
1.8,31.4,36.8,27.2,40,33,59.5,10.2,71.3,1.6,4,37486
1.7,30.1,34.1,27.7,32,24,66.3,5.2,36.4,2.4,3.8,39225
1.8,30.1,33.7,27.3,40,29,68.8,4.4,30.8,1.5,3.4,37796
1.9,30.9,35.4,27.2,43,30,69.3,9.3,65.5,1.9,3.7,34985
7.5,29.5,35.2,28,31,21,77.1,3.4,23.9,1.2,3.6,24649
1.7,31.3,36.7,26.4,18,12,52.4,12.3,86.6,1.2,2.9,28317
1.7,31.7,36.9,26.2,9,6,50.9,11,77.5,1.2,2.4,36701
1.8,32.6,38.3,27.8,15,9,50.5,12,85.1,1.5,3.6,35262
1.8,33.6,39.6,27.8,29,17,55.5,12.6,89.4,1.7,4,31169
1.8,33.7,37.9,30.3,29,19,54.4,9.8,69.5,1.6,3.2,31321
1.8,33.1,37.9,30,41,30,55.3,10.5,75,1.9,4.2,31646
1.8,31.1,34.9,28,24,17,60.6,12.1,86.4,2.4,4.6,28174
2,30,33.9,27.2,24,15,71.8,10.1,72.1,2.6,4.9,26989
6.5,30.5,35.3,28.3,28,18,71.6,7.3,52.5,1.6,4.4,29113
1.7,30.5,35.9,26.8,17,11,63.4,8.5,61.2,1.5,3.7,36983
1.7,31,35.3,27.6,24,15,64.8,10.8,77.7,2.1,4.6,37140
2,28.8,32.5,27.1,23,16,76.3,2.6,18.8,1.5,4.2,32216
1.8,30.7,36.8,25.7,14,9,60.9,11.4,82.6,1.4,3.6,36178
1.8,31,36,26.4,9,5,55.8,11.5,83.3,1.5,3.3,31293
5,30.6,35.3,27.2,14,9,61.3,8.4,61.3,1.5,3.7,27363
1,30.5,34.4,26.7,30,21,68.6,6.3,46,1.4,3.2,36076
1.8,31.7,37.2,27.7,24,15,58.3,9.5,69.3,1.3,4,37659
1,31.7,38,28.3,27,18,59.5,9.5,69.9,1.2,5.8,29270
1.7,29.9,35.6,24.1,14,8,51,11,80.9,1.7,3,41358
1.4,27.2,33.8,21.7,12,5,39.8,12.4,91.2,1.8,3.5,47634
1.8,26.7,32.1,21.5,14,6,44.6,10.9,80.7,1.4,3.8,45629
1.8,28.2,34.4,23,20,12,50.6,7.9,58.5,1.2,3.3,42281
0,29.1,33.3,25.1,32,20,55.6,6,44.4,2,5.1,44243
5,26.6,31,23.4,21,12,71.4,6.8,50.7,2.5,7.1,41964
1.8,30.7,37.6,23.4,21,13,54.1,10.5,78.4,1.1,3.2,42425
3,29.4,32.2,25.7,11,6,59.1,1.7,12.7,1.7,2.8,23616
7.5,24.4,26.3,23.2,8,5,86.3,0,0,2.5,4.2,17319
1.7,25.2,29.3,22.7,21,12,68,7.2,54.1,2.6,5.3,47109
2,23.2,29,20.3,16,10,70,5.1,38.6,1.2,3.8,32200
19.5,22.7,24.9,20.2,8,6,91,0,0,0.8,2.1,23382
96.5,23.7,26.1,22.5,10,6,92.4,0,0,0.9,3.7,13495
42,25.2,27.4,22.7,13,7,86,0.1,0.8,2.4,4.5,13001
9.5,25.3,28.2,23.9,25,17,80.9,1.9,14.5,1.8,3.7,33158
0.1,25.6,30.3,22.8,22,14,67.4,10.1,77.7,1.6,3.7,46101
1.8,25.5,30.9,20.8,17,9,59.4,10.6,81.5,1.3,2.3,43847
1.8,25.1,29.6,20.1,12,7,55.8,9.2,70.8,1.5,2.8,48427
34.5,23.3,25.8,21.4,14,8,85.3,0,0,1,5.5,16086
1.9,23.2,27.8,20,14,7,69.4,11,85.3,2.2,5.2,50500
1.7,24,28.5,19.6,24,10,63.5,11.8,91.5,2.5,5.7,53984
1,24.1,28.2,20.9,31,17,69.9,2.2,17.2,2,5,46532
0.5,22,25.5,19.1,24,13,54.6,10.9,85.2,2.5,4.3,53230
1.8,21.7,27.7,15.9,22,11,48.8,11.7,92.1,1.7,3.9,55470
1.8,22.2,28.9,15.6,19,10,49,9.9,78,1.2,2.8,54213
1.8,22.9,28.4,18.6,11,5,49.5,10.3,81.1,1.6,2.7,55188
1.8,21.6,26.1,16.8,12,5,48.1,8.4,66.7,1.5,2.4,56212
1.7,22.8,28.2,16.8,15,7,52,11.3,89.7,1.4,3.2,57363
1.7,23.5,28.3,20.3,16,7,63.5,5,40,1.2,2.4,55791
0.5,23.5,26.8,20.3,17,10,66.9,1.6,12.8,1.3,2.6,49383
0.2,23.3,26,21,11,6,76,0.8,6.4,1,2.4,44808
2,22.2,23.9,21,34,21,83.6,0,0,1.7,3.7,24317
0.1,22.3,27.7,18.5,23,14,64.3,10.8,87.1,1.9,3.8,55335
1.8,22,26.5,17.7,31,16,59.8,7.9,64.2,1.2,3.4,57691
0.2,22.1,26.6,18.9,35,18,59.1,2.1,17.1,1,2.9,44096
5,19,20.1,17.8,13,8,82.4,0,0,1.8,2.9,23616
18,19.4,21.9,17.6,7,4,85.8,0.6,4.9,1.3,2.3,32242
6.5,20.8,25.5,17.2,27,11,62.3,10.8,88.5,1.8,5.3,49688
0,19.4,25.3,15.6,26,10,52.9,7.4,61.2,1.6,4.3,38635
1.8,17.6,22.1,14.2,13,6,48.3,11,90.9,2.1,4.4,36406
1.8,17.8,24.3,10.8,14,7,48,10,82.6,1.1,2.2,49595
1.8,19.4,24.8,16.2,8,5,47.9,8.4,70,1.7,2.7,57730
1.8,18.9,25,13.2,9,5,47.6,10.3,85.8,1.3,2.4,58200
1.8,17.5,22.2,14.3,12,7,58.1,3.5,29.4,1.2,2.1,59649
1.8,20.2,27,14.6,14,9,55.5,10.8,90.8,1,2.4,63866
1.7,17.6,21.6,14,19,10,52.5,10.4,87.4,2.3,5.5,55893
0,15.4,19.7,13,16,9,55.1,7.9,66.9,2.9,6.1,51808
1.8,15.9,22,10.3,22,13,61.4,10.8,91.5,1.6,4.1,57280
1.8,17.3,24.2,11.2,24,14,58,10.6,90.6,1.3,4,64671
1.8,19.3,25.6,13,21,12,56.5,8.9,76.1,1.3,2.4,59413
36.5,16.9,19,15.7,11,6,84.1,0,0,1.7,3.2,7772
55.5,18,21.7,16.3,5,3,84,3,25.9,2.2,5.3,32510
1.7,16.4,21.1,12.3,23,10,53.5,10.5,90.5,1.7,3.6,57873
1.8,14.8,20.9,9.2,20,8,47,10.5,90.5,1.1,2.7,57247
0,15.3,19.8,10.7,23,12,52.5,2.3,20,1.1,2.7,61525
7,12,16.7,7.9,18,11,61,6.5,56.5,2.5,4.7,44876
1.7,9.7,13.9,6.1,17,9,51,9.3,81.6,2.1,5.6,44489
1.8,10.9,17.4,5.2,22,13,54,10.1,88.6,1.3,3.2,48529
1.8,12.5,19.8,6.1,29,18,54,10,87.7,1,2.9,49203
1.8,13.2,20.3,6.8,30,20,60,9.9,87.6,1.5,3.1,49025
1.9,15.2,21,10.9,49,32,69.9,6.8,60.2,1.4,3.5,49503
1.8,14.5,20.3,9.9,42,23,55.9,8.2,73.2,1.3,3,51236
1.7,12.4,18.6,8.4,33,17,53.3,10,89.3,1.3,3.6,49795
1.8,12.7,19,7.5,14,8,59.5,8.1,72.3,1.1,2.7,49560
1.8,13.1,20.4,7.2,19,10,54.3,9.9,89.2,1.4,3.8,52122
1.7,13.4,21.4,6.9,36,19,53.9,9.7,87.4,1.2,3,49815
1.8,13.4,21.1,7.2,32,20,49.5,9.6,87.3,1.1,2.9,48346
1.8,14,20.6,8.8,42,28,50,7.6,69.1,1,2.6,49889
5,12.2,16.9,9.8,50,30,75.1,5.3,48.2,1.1,5,40223
1.7,12.5,18.7,7.6,39,17,66,9.6,88.1,1.3,3.4,50343
1.8,13.8,21.2,7,36,19,55.5,8.7,79.8,0.9,1.6,52181
11,12.2,14.7,9.9,32,17,74.1,2.4,22.2,1.6,5.4,24308
1.8,8.7,11.6,6.2,24,6,49.6,8,74.1,3.2,5.8,33699
5.5,8.3,13.5,5.2,13,7,77.1,2.8,25.9,1.5,5.9,20882
0,7.2,11.7,3.4,16,8,57.3,6.5,60.7,2,5.3,36107
0,6.1,11.6,0.7,21,10,51.3,9.1,85,1.6,3.5,37382
0,7.4,12.6,3,20,12,55.4,9.3,86.9,1.6,4.1,39009
1.7,8.4,15.2,2.5,31,18,53.4,9.2,86.8,1.3,3.6,41911
1.8,10.6,19,4,39,24,54.9,9.2,86.8,1.1,2.5,44917
1.8,11.2,19.1,5,47,30,56,9.1,85.8,1.3,4,40640
1.8,11.6,19.4,5.3,40,27,55,9,85.7,1.3,3.4,39973
1.6,11.9,18.3,6.6,53,33,65.5,7.9,75.2,1.1,2.3,43870
2,12.2,17.5,8,89,61,70.5,4.1,39,0.9,2.6,39680
2,12.8,15.7,10.3,56,38,79.5,0.5,4.8,1.1,2.8,29492
64,11.8,14.7,10.5,9,5,93.8,0,0,1.8,5,2730
1,12.1,15.4,9.5,38,20,69,6.5,62.5,3.1,5.6,34673
0,11.9,17.1,8.8,69,39,69.1,8.1,78.6,1.4,3.3,34194
0,8.1,10.9,5.4,64,37,67.6,1.4,13.6,1.1,3.7,23926
1.7,8.1,15.1,3.1,27,14,52.3,8.9,86.4,1.2,3.3,38706
1.7,8.8,15.4,4.1,39,23,51.6,8.8,86.3,1.1,3,40263
1.8,9.8,16.6,4.8,31,19,55.5,8.7,85.3,1.1,3.1,41973
1.8,9.7,16.2,4.7,45,30,55.4,7.8,76.5,1,2.4,39702
1.7,8.8,14.5,4.2,55,36,65.1,5.2,51,1.7,4,37629
1.7,4.9,11.4,0.6,31,18,50.8,5.2,51.5,1.4,3.7,28167
1.8,6.5,11.3,3.3,56,29,50.4,5.8,57.4,1.4,4.4,34352
0.2,6.5,12.7,0,40,17,39.9,8.8,88,1.8,4.2,34855
1,5.8,8.2,3.1,30,15,57.1,0,0,1.2,4.5,28140
0.9,2.3,7.1,-1.3,19,10,35,8.6,86,2.4,5.6,29239
1.1,1.9,7.6,-3.1,23,11,29.6,8.6,86,1.4,3.7,28620
10.9,2.6,3.8,0.3,23,12,71.1,1.6,16.2,1.8,3.3,11255
3.6,4.8,9.8,1.3,44,31,77.8,6.9,69.7,1,1.9,19946
2,6.3,13.6,1.6,57,38,70.1,8.6,86.9,1,1.9,30698
1.7,7.1,12.5,3.1,108,48,65,1.1,11.1,1.5,3.7,28806
1.8,5,11.1,2.1,110,19,27.1,6.8,69.4,1.6,3.7,29177
0,3.5,6.7,0.6,70,20,41.4,0.2,2,1.3,3.3,28977
1.8,2.7,8,-1.5,59,20,46.1,8.6,87.8,1.4,3.3,28557
1.6,5.5,12.4,0.8,44,23,42.3,7.8,79.6,1,2.5,24622
1.8,8.2,11.8,2.8,46,23,50.1,2.7,27.6,1.3,2.2,23035
9.5,11.5,13.5,9.3,44,21,87.4,0,0,1.4,3.2,10638
5,6.7,11.8,-0.3,33,15,74.9,2.1,21.6,2.7,5.6,20029
1.4,0,3.4,-4.3,26,11,39.5,3.1,32,1.5,4,23535
0,2.4,6.8,-1,36,16,50.5,6.2,63.9,2.3,5.7,23788
1.1,-7.3,-1.1,-9.6,22,9,37.1,8.7,89.7,3.8,5.9,15148
1.1,-8.3,-4.4,-11.4,23,9,37.1,8.7,89.7,2.6,5.5,9824
1.8,-7.2,-2.1,-11.8,21,10,27,7.8,80.4,1.5,3.4,8749
0.8,-2.5,4.6,-8.1,32,18,33.3,8,83.3,0.9,2.9,17987
1.8,0.2,2.9,-2.4,41,25,44.8,0.1,1,1.2,3.9,20805
1.3,-1.9,2.4,-5,45,23,39,8.7,90.6,2.2,4,19339
1.3,-2.2,2.1,-5.9,39,23,57.4,4.8,50,2,5.8,11765
1.8,-4.4,0.6,-7.8,32,17,44.3,8.7,90.6,1.7,3.5,14932
1.8,-2.4,3.2,-7.8,56,37,46.8,8,83.3,1,2.1,12720
0.3,0,2.1,-2.6,55,39,63.8,1.1,11.5,0.9,1.7,10783
0.3,1.6,5.9,-1.5,72,45,60.1,8.3,86.5,1.8,4.3,17449
1.8,2.6,7.4,-2.8,44,23,56.3,7.2,75,1.4,4.1,20917
1.7,4,9.5,1.3,50,28,53.4,7.8,81.3,1.4,3.3,21970
1.8,3.4,10.4,-1.1,55,37,45.5,7.5,78.1,0.9,2.4,22881
1.4,5.6,9.8,0.4,69,44,40.1,3.2,33.3,1.1,2.6,23422
1.8,6.9,12.4,2.9,81,56,48.9,7.8,81.3,1.5,3.6,17127
1.7,2.4,7.5,-3.4,48,27,43,8.3,86.5,2.9,5.7,13601
0.9,-2.3,3.1,-5.9,21,11,35.9,8.8,91.7,1.6,3.6,16579
1.7,0.6,5.2,-4,35,20,53.4,3.1,32.3,1.2,2.7,12437
1.5,-1.5,3,-7.1,49,26,40.8,8.3,86.5,2.8,4.5,17112
1.4,-10.1,-6.5,-12.5,26,9,28.3,8.7,90.6,3.5,5.8,11325
0.8,-10.5,-6.6,-14.4,33,13,33,8.7,90.6,2.5,4.4,10445
1.2,-7.6,-3,-10.5,36,9,29,8.7,90.6,2.9,5.5,8083
0.9,-6.8,-0.9,-11.3,30,15,35.9,8.7,90.6,1.2,3.1,7864
1.4,-5.4,-0.5,-10.5,45,29,39.6,8.3,86.5,1.2,3.4,11911
1.8,-5,-0.6,-8.2,35,22,49.5,7.5,78.1,2.1,4.3,8601
1.7,-4.9,0.2,-8.8,31,19,42.8,8.7,90.6,1.7,3.6,14360
1.3,-3.5,3.2,-8.4,36,21,38.8,8.7,89.7,1.4,2.9,16344
1.8,-1.1,4.1,-6.2,56,36,55.5,3.9,40.2,1.2,3,17308
1.5,-2.8,1.1,-5.5,62,37,40.3,8.6,88.7,2.2,4.3,12380
0.9,-2.8,2.7,-6.3,44,19,35,7.7,79.4,1.2,3.2,11094
1.8,-1.9,3.1,-6.2,50,30,46.4,7,72.2,1.4,4.7,16795
0.9,-3.5,0.5,-7.2,39,17,31,8.7,89.7,2.6,6.5,15833
1.3,-4.7,1.3,-9.4,44,19,28.8,7.4,76.3,1.3,3.5,15819
1.8,-0.6,3,-4.5,54,29,48.8,3.1,31.6,1.3,3.8,17894
1.8,2.4,7.2,-0.4,70,46,58.8,6.9,70.4,1,2.6,19271
1.8,2.8,8,-0.6,93,64,47.6,6,61.2,1.3,3.5,14519
1.8,1.2,7.6,-3,102,67,54.3,8.6,87.8,1.4,3.2,11751
1.8,1.4,5.3,-2.4,158,112,68.6,0.4,4.1,0.9,2.5,14818
0,-1.7,2.6,-7.2,130,79,58.8,4.7,47.5,2.7,6.1,14761
0,-5.2,-1.1,-10.1,45,16,45.9,8.6,86.9,2.3,4.3,15823
0,-0.3,4,-3.2,40,19,45.8,8.7,87.9,1.7,5,17960
1.7,0.6,6.7,-4.6,49,29,44,8.5,85.9,1.3,4.5,18901
1.8,3.6,8.5,0,90,58,59.8,2.9,29.3,1.2,3,14883
1.2,-1.4,4,-5.5,62,30,38.5,8.8,88,3.2,5.5,11191
0,-1.2,4.2,-6.7,42,20,57.8,1,10,1.6,4.3,17240
1.7,1.7,7.1,-3.3,62,26,62,8.5,85,1.7,4.4,19885
1.8,2,7,-0.8,71,42,48.9,8.6,86,2.3,5.1,19163
0.9,0.1,6.5,-4.6,38,19,34.9,8.8,87.1,1.7,3.5,20057
1.6,-1.2,2.6,-3.8,40,18,27.6,8.7,86.1,2.6,5.5,18159
0.9,-2.5,2.4,-6.5,38,17,30.9,8.8,87.1,2.4,4.4,13203
1.7,-0.1,5.1,-6.6,37,19,52.5,6.7,65.7,1.7,3.7,12440
