"date","precipitation","temp_mean","temp_highest","temp_lowest","PM10","PM2.5","humidity","sunshine_sum","sunshine_rate","wind_mean","wind_max","rental"
2018-02-10,0.9,-0.5,3.2,-6.9,66,39,47.4,5.3,50,3,6.3,4829
2018-02-11,0,-6.1,-2.2,-9.5,44,13,42.5,6.6,61.7,2.7,5.1,3047
2018-02-12,0,-5.8,-1.8,-9.6,41,13,40.8,8.7,81.3,2.7,5.2,5231
2018-02-13,2.2,-0.8,4.3,-7.4,43,14,54.5,8.3,76.9,2.7,5.6,6863
2018-02-14,1.7,3.5,8.7,-0.7,59,27,51,3.3,30.6,2.6,5.4,7477
2018-02-15,4.7,-0.7,4,-3.7,32,14,28,0,0,2.5,4.4,3935
2018-02-16,1.4,-1.1,4.9,-5.5,41,16,40.1,9.7,89,2.1,5.5,3047
2018-02-17,1.3,-3,1.4,-7.1,36,14,25.6,9,82.6,2.9,5.5,3494
2018-02-18,1.5,-0.4,5.2,-4.9,30,14,26.9,7.2,66.1,1.3,3.5,5191
2018-02-19,0.3,1.8,6.8,-1.9,51,33,48.6,4.8,43.6,1.5,3,8563
2018-02-20,0.7,0.9,5.5,-2.4,51,32,41,8.3,75.5,2.5,5.8,8899
2018-02-21,1.2,-0.9,4.4,-4.5,32,17,31.5,9.8,89.1,2.3,5.2,8342
2018-02-22,0.4,1.3,5.4,-3.9,42,25,59,6.4,57.7,2.2,5.2,8580
2018-02-23,3.7,4.2,8.6,-0.3,79,55,81.1,4.8,43.2,1.9,5,6408
2018-02-24,0.6,2.4,7.2,-1.1,68,47,49.4,7.6,67.9,2.1,3.9,7198
2018-02-25,1.2,1.9,7.9,-1.6,36,25,40.6,9.2,82.1,1.7,3.8,7595
2018-02-26,1.3,3.1,10.4,-3.2,55,36,43.1,10.2,91.1,1.4,3.6,10712
2018-02-27,0.8,4.2,6.9,0.6,82,55,48.8,0,0,0.9,1.8,10064
2018-02-28,25,4.6,7.8,1.8,67,43,73.3,0,0,2,3.7,4230
2018-03-01,0.5,-0.2,3,-4.3,35,26,61.9,8.7,76.3,3.8,6.9,5761
2018-03-02,0.6,-0.7,5.4,-6.7,58,24,34,10.3,90.4,1.5,3.3,9388
2018-03-03,0,7.9,16.2,-0.1,52,26,38.1,10.1,88.6,1.5,3.9,16029
2018-03-04,11.5,9.8,11.9,7.6,28,19,89.1,0,0,1.2,3.5,5373
2018-03-05,3.5,5.5,11.4,1.3,8,5,67.5,7,60.9,2,3.5,9943
2018-03-06,2.2,4.5,10.9,-1.1,26,15,46.8,10.6,91.4,1.6,3.7,14028
2018-03-07,0.5,6.4,10.7,2.2,25,14,54,3,25.9,1.8,3.2,12925
2018-03-08,4,4.6,9.7,2.7,29,23,76,5.1,44,1.9,4.5,8812
2018-03-09,0.9,4.5,9.6,1.4,41,31,63.3,5.1,43.6,1.5,4.2,13573
2018-03-10,2.7,4.6,9.7,0.7,43,31,65.8,7.9,67.5,2,5.9,13324
2018-03-11,1.9,6.4,12.2,2.7,52,35,51.3,9.8,83.1,2,4.2,15136
2018-03-12,0.9,8,15.5,2.2,80,52,45.8,7.5,63.6,1.4,4.2,15913
2018-03-13,2.2,12.4,18.8,5.2,59,37,60.5,6.6,55.9,1.8,4.3,19514
2018-03-14,2.4,17,22.1,13.6,22,11,58.8,7.9,66.4,2.3,5,24911
2018-03-15,27,12.4,16.6,8.4,18,12,92.1,0,0,2.1,4.8,7091
2018-03-16,3.5,7.1,12.2,3.6,12,6,46.9,11,91.7,1.9,3.1,18415
2018-03-17,2,6.6,14,0.5,26,16,48,9.1,75.8,1.5,3.8,20165
2018-03-18,0.5,8.2,12.5,5.4,52,36,55.9,0,0,1.2,2.9,11740
2018-03-19,1,8,10.4,6.2,30,23,64.5,0,0,2.5,4.2,10297
2018-03-20,3,4.7,9.1,1.6,18,7,39.9,5.4,44.6,3.4,4.8,13205
2018-03-21,1,2.1,5.3,1.1,45,29,64.1,0.4,3.3,1.7,3.3,8225
2018-03-22,3.2,4.9,11.6,0.6,45,28,61.5,10.7,87.7,2.2,5,16420
2018-03-23,1.6,6.1,12.5,1.8,50,31,55.3,8.7,71.3,2,4.2,17904
2018-03-24,1.9,7.6,13.1,4,50,32,61.9,7.2,58.5,2.1,4.4,14914
2018-03-25,3,9.6,16.9,4.6,54,37,65.6,9.5,77.2,1.7,3.5,13942
2018-03-26,3.3,11,18.1,5.3,52,34,64.5,9.1,73.4,1.9,4.4,15505
2018-03-27,2.7,13.3,20,7.7,53,35,61.1,7.9,63.7,1.6,3.9,17456
2018-03-28,2.5,14,19,9.4,37,21,66.4,5.2,41.6,2.2,4.8,21232
2018-03-29,2.9,15.4,21.1,11.8,45,29,66.3,7.5,60,1.6,4,21436
2018-03-30,2.9,14.8,21.9,9.8,44,28,55.6,9.9,79.2,1.7,3.8,24411
2018-03-31,2.1,14,20.1,9.3,46,27,52.9,7.9,62.7,1.9,4.5,25673
2018-04-01,2.5,15.6,18.5,11.7,33,18,68.8,1.3,10.3,1.5,3.5,22994
2018-04-02,1.5,18.4,23.7,14.9,35,20,64,5.6,44.4,1.9,4.5,28139
2018-04-03,0.1,17.8,21.2,14.9,23,13,72.9,0.8,6.3,2.1,4.4,26817
2018-04-04,18.5,13.4,18.2,9.5,40,24,67,8,63,1.9,5.1,26034
2018-04-05,10.5,7.6,9.5,6.7,19,12,90.6,0,0,2,3.5,2833
2018-04-06,6.5,5.8,8.6,3,31,19,71.6,4,31.3,3.1,5.7,13297
2018-04-07,0.2,4.2,8.6,1.4,40,18,45.5,9,70.3,4.1,6,13088
2018-04-08,3,3.9,7.9,0.6,52,33,59.6,3.3,25.6,1.8,3.6,7758
2018-04-09,2.4,7.9,15.4,0.1,32,22,57.9,9.5,73.6,1.1,2.9,23925
2018-04-10,5,15.1,21.9,6.9,37,18,51,6.3,48.5,3.5,8.8,20423
2018-04-11,5.4,12.6,17.3,8.7,53,20,49.4,11.8,90.8,3,6.1,25557
2018-04-12,4,13.3,19.6,6.8,40,14,30.5,12,92.3,2.6,6.2,28885
2018-04-13,5.1,14.6,19.3,8.3,29,13,22.9,2.7,20.6,1.3,3.7,29497
2018-04-14,9,9,14.8,7.5,18,10,78.8,0.3,2.3,1.8,4.1,8216
2018-04-15,4.6,9.5,14.2,5.6,61,17,65.5,8.6,65.2,2.4,4.9,12721
2018-04-16,3.2,11.6,18.8,4.9,33,20,41.9,12.3,93.2,1.6,4.7,29589
2018-04-17,3.8,12.9,20.1,6.8,50,25,37.9,12.2,92.4,1.9,5.5,28236
2018-04-18,2.7,12.4,19.3,6.2,57,27,35.4,12,90.2,1.9,3.9,23499
2018-04-19,3.2,14,20.5,7.4,70,32,38.8,11.4,85.7,1.9,5.1,20400
2018-04-20,3.3,18.4,26.3,11,39,25,46,11.3,84.3,1.3,3.6,28351
2018-04-21,3.6,18.7,25.6,12.3,66,36,32,12.4,92.5,1.9,4.6,33144
2018-04-22,15.5,15.5,21,10.7,33,18,57.4,0,0,1.1,2.9,8095
2018-04-23,59,9.3,10.7,8.4,9,6,93.9,0,0,2.2,3,1037
2018-04-24,3,12.1,16.1,8.9,7,4,63.3,0,0,1.4,2.8,24560
2018-04-25,3.3,14.6,23.3,5.7,30,22,37.8,12.4,91.9,1.5,4.4,33728
2018-04-26,3.7,14.9,22.1,10,39,26,51.9,11.7,86,2.1,5.1,32547
2018-04-27,2.8,15.7,23.3,9.7,48,33,52.9,11.3,83.1,1.7,3.8,32989
2018-04-28,3.6,15.4,21.7,10.5,56,35,49,12.4,91.2,2,4.8,33738
2018-04-29,3,16.2,22.9,9.4,47,27,43.1,11.6,84.7,1.9,4.3,35159
2018-04-30,1.7,19.2,25,14.1,70,47,61.6,9.2,67.2,1.6,3.6,32629
2018-05-01,0,20.4,23.3,17.8,52,36,72.8,3.2,23.4,1.5,4,34593
2018-05-02,12,15.1,19.7,8.7,41,30,90.4,0,0,1.9,5.2,8374
2018-05-03,1,11.2,14.7,6.9,24,12,62.4,8.2,59.4,2.7,5.3,25963
2018-05-04,4.9,14.1,20,8.8,37,15,45.5,12.4,89.9,2.7,5.9,34058
2018-05-05,3.6,18.3,24.6,11.6,34,17,46.8,11,79.1,2.6,4.8,37389
2018-05-06,22,16.6,20.7,15,13,8,86.4,3.2,23,1.1,3.9,19809
2018-05-07,1.8,19.2,25.5,14,30,16,60.3,7.1,51.1,1.2,3.7,40026
2018-05-08,3.2,17.5,22.9,11.6,15,7,50.9,11.3,80.7,1.7,2.7,33738
2018-05-09,2.7,15.7,21.8,9.2,19,7,50.4,12.6,90,1.7,3.6,37851
2018-05-10,4.8,15.4,21.4,11.3,35,18,67.4,12.3,87.9,2.3,5.4,36549
2018-05-11,0.5,16.1,21.3,11.9,51,29,59.8,5.3,37.6,1.8,3.5,33923
2018-05-12,32,14.2,16.1,11.8,27,17,89.3,0,0,0.9,2.9,3551
2018-05-13,0.5,15.8,20,12.7,18,12,82.5,6.9,48.9,1.9,3.9,35668
2018-05-14,1.9,18.2,24.5,11.9,58,37,71.4,7.2,50.7,1.4,3.4,35918
2018-05-15,0,23.2,29.3,15.4,66,46,56.4,8.9,62.7,1.1,3.4,36476
2018-05-16,45,22.3,24.4,21.8,32,22,93.8,0,0,1.9,6.1,7072
2018-05-17,83,20.9,23.5,18.8,13,8,97,0,0,1.4,8,3802
2018-05-18,6.5,16.3,19.3,12.2,19,10,86.8,0.4,2.8,1.3,2.7,19629
2018-05-19,2.8,17.6,24.7,10.3,24,13,47.5,12.7,88.8,1.5,2.9,43471
2018-05-20,5.2,17,22.6,11.5,9,5,32.1,4.2,29.4,1.4,2.8,39036
2018-05-21,2.6,17.8,23.7,11.3,8,5,43.9,8.8,61.5,1.4,3.5,42039
2018-05-22,12.5,18.1,23.2,15.4,31,17,75.5,2.7,18.8,1.1,3.1,17444
2018-05-23,6.5,17.3,23.3,13.6,36,18,57.1,12.7,88.2,2.5,5,35975
2018-05-24,4.2,18.3,23.7,11.2,43,21,47.4,12.5,86.8,2.2,5.4,36858
2018-05-25,3,19.7,26.2,13.8,41,24,47.4,12.1,84,1.8,4.5,37569
2018-05-26,2.8,21.8,29.6,14,37,25,50.1,12.6,86.9,1.4,4,37761
2018-05-27,0.3,20.3,24.7,17.3,56,25,47.4,4.7,32.4,1.7,4.1,39534
2018-05-28,2.7,22.3,29.1,16.2,41,20,49.8,12.5,86.2,1.6,4.3,40775
2018-05-29,1,21.4,25.9,19.1,29,17,69.3,3.4,23.4,1.8,4.4,29925
2018-05-30,0,20.2,24.7,15.8,30,19,69.8,9.8,67.6,1.9,4.4,39214
2018-05-31,2.6,20.9,27.6,14.2,30,19,58.9,12.9,88.4,1.9,3.6,41619
2018-06-01,2.8,23.8,30.2,17.5,35,20,50.4,12.9,88.4,1.9,4.3,41970
2018-06-02,3.3,23.4,30.1,17.6,43,27,44.5,12.8,87.7,2,4.5,41677
2018-06-03,3.2,24,30.8,16.9,37,23,39.4,12.9,88.4,1.6,4.2,40565
2018-06-04,0.8,22.6,27.5,18.9,36,24,50.1,9.2,63,1.9,4.4,44014
2018-06-05,1.7,23.7,29.2,17.7,32,22,52.5,11.4,77.6,1.7,4,44118
2018-06-06,2.2,23,27.9,18.4,29,19,62.9,12.7,86.4,2,4,40440
2018-06-07,1.6,22.2,29.4,17.8,28,18,69.3,9.4,63.9,2,4.1,42038
2018-06-08,0.6,21.9,27,18.5,21,13,68,7.1,48.3,2.1,3.7,46516
2018-06-09,0.5,23.7,30.1,18.9,30,19,60.6,7.9,53.7,1.4,3.5,32839
2018-06-10,0.5,21.3,24.9,18.3,20,10,59.9,1.4,9.5,1.4,2.9,39277
2018-06-11,5,20.2,23.9,18,35,21,67.3,3.3,22.4,1.4,4.3,30605
2018-06-12,0,21.3,27.1,16.6,31,20,65.5,12.1,82.3,1.7,4.7,46201
2018-06-13,0,22,27,18.3,36,22,64,4.9,33.3,1.5,5.1,49116
2018-06-14,29,21.6,25.1,18.8,30,18,74.9,1.4,9.5,1.1,3.7,30511
2018-06-15,16.5,21.7,27,17.2,20,12,60.8,9.8,66.2,1.4,2.7,45103
2018-06-16,1.9,22.5,28.7,16.3,21,14,56.4,13,87.8,1.4,2.8,46457
2018-06-17,0.3,22.8,27.5,18.9,33,20,66.9,2.4,16.2,1.3,3.9,43484
2018-06-18,2.2,24.8,30.8,19.9,32,22,54.9,12.6,85.1,1.5,4,36316
2018-06-19,0,22.4,27.2,19.1,22,12,61.3,3.1,20.9,1.8,3.6,47296
2018-06-20,1.4,22.7,28.4,19.1,25,16,68.1,10.2,68.9,2.3,4.2,46612
2018-06-21,2.1,23.7,28.7,19.4,29,17,60.1,12.6,85.1,2.2,4.4,47762
2018-06-22,2.5,25,32,18.2,38,23,45.1,12.4,83.8,1.8,4.3,47478
2018-06-23,0.1,24.5,28.9,20.9,29,17,50.6,8.5,57.4,2,4.4,45663
2018-06-24,1.9,25.2,32.1,20.1,28,19,62.8,11.1,75,1.9,3.7,39548
2018-06-25,1.3,27.1,32.9,21.3,23,14,57.1,7.8,52.7,1.2,3.2,46565
2018-06-26,71.5,22.3,26.9,20.2,51,34,88.3,0,0,2.4,5.7,6391
2018-06-27,1,22.3,25.5,19.1,21,14,81.9,2.9,19.6,2,4.5,41128
2018-06-28,26.5,23.3,27.3,20.6,28,18,85.1,1.9,12.8,1.1,4.3,27757
2018-06-29,6.5,24.7,29.1,21.9,22,15,78.5,8.4,56.8,1.5,3.2,42765
2018-06-30,14.5,24.4,27.9,21.6,50,34,83.8,0.5,3.4,0.9,5.1,26911
2018-07-01,83.5,21.9,22.8,21,11,8,94.6,0,0,0.8,2.3,4358
2018-07-02,59.5,22.6,25.3,20.6,10,7,95.4,0.1,0.7,0.7,2.9,6261
2018-07-03,0.1,27.4,32.6,22.5,11,8,74.4,10.1,68.7,0.8,2.6,41350
2018-07-04,1,27.3,31.8,24,25,17,69.6,8.4,57.1,1.7,3.9,45741
2018-07-05,0.5,25.3,29,23.4,23,14,72.8,1.7,11.6,1.2,3,39804
2018-07-06,0,23.9,27.1,21.5,6,3,57.8,2.6,17.7,1.8,3.4,49521
2018-07-07,0,23.7,29.2,19.5,7,5,51.4,0,0,1.6,2.3,48015
2018-07-08,2.4,23.3,28.1,17.7,11,8,51.5,9.5,65.1,1.5,2.8,48132
2018-07-09,14,20.8,24.2,20.1,9,7,82.3,0,0,1.1,1.8,8155
2018-07-10,16.5,23.7,26.5,20.4,19,13,87.8,0,0,0.7,1.6,27956
2018-07-11,3,26.8,29.5,24.4,34,23,82.9,0.1,0.7,1.3,3.9,35390
2018-07-12,1,26.6,28.2,25.1,28,18,82.4,1.1,7.5,1.5,3.6,43611
2018-07-13,2.1,27.3,30.9,24.7,22,17,74.8,7,47.9,1.8,3.4,44976
2018-07-14,0,27.9,31.9,24.6,20,15,69.6,11.3,77.9,1.9,4.2,39205
2018-07-15,2.3,28.3,33.2,24.5,23,18,69.6,11,75.9,1.6,3.7,34957
2018-07-16,1.9,28.7,34,24,24,20,64.3,12.9,89,1.7,3.6,40964
2018-07-17,1.6,28.1,32.1,23.9,28,25,66.5,13,89.7,1.7,4.1,43323
2018-07-18,1.9,28.2,33.2,23.7,33,30,64.8,13,89.7,1.6,4.1,42609
2018-07-19,2.2,28.7,34.1,23.2,29,23,64.1,12.9,89.6,1.6,3.2,42316
2018-07-20,2.5,29.5,34.7,24.6,36,28,62.6,12.9,89.6,1.5,3.3,40337
2018-07-21,3.2,30.6,36.9,24.9,35,28,53.6,12.9,89.6,1.5,3.6,32360
2018-07-22,3.4,31.8,38,25.3,29,22,49.6,12.2,84.7,1.4,3.7,28250
2018-07-23,0.3,31.7,35.7,29.2,31,24,53.8,8,55.6,1.8,4,38003
2018-07-24,1.5,31.4,36.8,27.2,40,33,59.5,10.2,71.3,1.6,4,37486
2018-07-25,0,30.1,34.1,27.7,32,24,66.3,5.2,36.4,2.4,3.8,39225
2018-07-26,0,30.1,33.7,27.3,40,29,68.8,4.4,30.8,1.5,3.4,37796
2018-07-27,1.7,30.9,35.4,27.2,43,30,69.3,9.3,65.5,1.9,3.7,34985
2018-07-28,7.5,29.5,35.2,28,31,21,77.1,3.4,23.9,1.2,3.6,24649
2018-07-29,3.2,31.3,36.7,26.4,18,12,52.4,12.3,86.6,1.2,2.9,28317
2018-07-30,3.3,31.7,36.9,26.2,9,6,50.9,11,77.5,1.2,2.4,36701
2018-07-31,2.9,32.6,38.3,27.8,15,9,50.5,12,85.1,1.5,3.6,35262
2018-08-01,3.3,33.6,39.6,27.8,29,17,55.5,12.6,89.4,1.7,4,31169
2018-08-02,3.2,33.7,37.9,30.3,29,19,54.4,9.8,69.5,1.6,3.2,31321
2018-08-03,2.3,33.1,37.9,30,41,30,55.3,10.5,75,1.9,4.2,31646
2018-08-04,3.2,31.1,34.9,28,24,17,60.6,12.1,86.4,2.4,4.6,28174
2018-08-05,2,30,33.9,27.2,24,15,71.8,10.1,72.1,2.6,4.9,26989
2018-08-06,6.5,30.5,35.3,28.3,28,18,71.6,7.3,52.5,1.6,4.4,29113
2018-08-07,2.1,30.5,35.9,26.8,17,11,63.4,8.5,61.2,1.5,3.7,36983
2018-08-08,1.8,31,35.3,27.6,24,15,64.8,10.8,77.7,2.1,4.6,37140
2018-08-09,2,28.8,32.5,27.1,23,16,76.3,2.6,18.8,1.5,4.2,32216
2018-08-10,1.9,30.7,36.8,25.7,14,9,60.9,11.4,82.6,1.4,3.6,36178
2018-08-11,2.8,31,36,26.4,9,5,55.8,11.5,83.3,1.5,3.3,31293
2018-08-12,5,30.6,35.3,27.2,14,9,61.3,8.4,61.3,1.5,3.7,27363
2018-08-13,1,30.5,34.4,26.7,30,21,68.6,6.3,46,1.4,3.2,36076
2018-08-14,1.5,31.7,37.2,27.7,24,15,58.3,9.5,69.3,1.3,4,37659
2018-08-15,1,31.7,38,28.3,27,18,59.5,9.5,69.9,1.2,5.8,29270
2018-08-16,3.1,29.9,35.6,24.1,14,8,51,11,80.9,1.7,3,41358
2018-08-17,3.3,27.2,33.8,21.7,12,5,39.8,12.4,91.2,1.8,3.5,47634
2018-08-18,1.7,26.7,32.1,21.5,14,6,44.6,10.9,80.7,1.4,3.8,45629
2018-08-19,2,28.2,34.4,23,20,12,50.6,7.9,58.5,1.2,3.3,42281
2018-08-20,0,29.1,33.3,25.1,32,20,55.6,6,44.4,2,5.1,44243
2018-08-21,5,26.6,31,23.4,21,12,71.4,6.8,50.7,2.5,7.1,41964
2018-08-22,2,30.7,37.6,23.4,21,13,54.1,10.5,78.4,1.1,3.2,42425
2018-08-23,3,29.4,32.2,25.7,11,6,59.1,1.7,12.7,1.7,2.8,23616
2018-08-24,7.5,24.4,26.3,23.2,8,5,86.3,0,0,2.5,4.2,17319
2018-08-25,0.9,25.2,29.3,22.7,21,12,68,7.2,54.1,2.6,5.3,47109
2018-08-26,2,23.2,29,20.3,16,10,70,5.1,38.6,1.2,3.8,32200
2018-08-27,19.5,22.7,24.9,20.2,8,6,91,0,0,0.8,2.1,23382
2018-08-28,96.5,23.7,26.1,22.5,10,6,92.4,0,0,0.9,3.7,13495
2018-08-29,42,25.2,27.4,22.7,13,7,86,0.1,0.8,2.4,4.5,13001
2018-08-30,9.5,25.3,28.2,23.9,25,17,80.9,1.9,14.5,1.8,3.7,33158
2018-08-31,0.1,25.6,30.3,22.8,22,14,67.4,10.1,77.7,1.6,3.7,46101
2018-09-01,2.6,25.5,30.9,20.8,17,9,59.4,10.6,81.5,1.3,2.3,43847
2018-09-02,2.3,25.1,29.6,20.1,12,7,55.8,9.2,70.8,1.5,2.8,48427
2018-09-03,34.5,23.3,25.8,21.4,14,8,85.3,0,0,1,5.5,16086
2018-09-04,2.7,23.2,27.8,20,14,7,69.4,11,85.3,2.2,5.2,50500
2018-09-05,2.9,24,28.5,19.6,24,10,63.5,11.8,91.5,2.5,5.7,53984
2018-09-06,1,24.1,28.2,20.9,31,17,69.9,2.2,17.2,2,5,46532
2018-09-07,0.5,22,25.5,19.1,24,13,54.6,10.9,85.2,2.5,4.3,53230
2018-09-08,1.5,21.7,27.7,15.9,22,11,48.8,11.7,92.1,1.7,3.9,55470
2018-09-09,2.3,22.2,28.9,15.6,19,10,49,9.9,78,1.2,2.8,54213
2018-09-10,2.5,22.9,28.4,18.6,11,5,49.5,10.3,81.1,1.6,2.7,55188
2018-09-11,3.4,21.6,26.1,16.8,12,5,48.1,8.4,66.7,1.5,2.4,56212
2018-09-12,1.1,22.8,28.2,16.8,15,7,52,11.3,89.7,1.4,3.2,57363
2018-09-13,2.4,23.5,28.3,20.3,16,7,63.5,5,40,1.2,2.4,55791
2018-09-14,0.5,23.5,26.8,20.3,17,10,66.9,1.6,12.8,1.3,2.6,49383
2018-09-15,0.2,23.3,26,21,11,6,76,0.8,6.4,1,2.4,44808
2018-09-16,2,22.2,23.9,21,34,21,83.6,0,0,1.7,3.7,24317
2018-09-17,0.1,22.3,27.7,18.5,23,14,64.3,10.8,87.1,1.9,3.8,55335
2018-09-18,1.4,22,26.5,17.7,31,16,59.8,7.9,64.2,1.2,3.4,57691
2018-09-19,0.2,22.1,26.6,18.9,35,18,59.1,2.1,17.1,1,2.9,44096
2018-09-20,5,19,20.1,17.8,13,8,82.4,0,0,1.8,2.9,23616
2018-09-21,18,19.4,21.9,17.6,7,4,85.8,0.6,4.9,1.3,2.3,32242
2018-09-22,6.5,20.8,25.5,17.2,27,11,62.3,10.8,88.5,1.8,5.3,49688
2018-09-23,0,19.4,25.3,15.6,26,10,52.9,7.4,61.2,1.6,4.3,38635
2018-09-24,2.9,17.6,22.1,14.2,13,6,48.3,11,90.9,2.1,4.4,36406
2018-09-25,3,17.8,24.3,10.8,14,7,48,10,82.6,1.1,2.2,49595
2018-09-26,3.4,19.4,24.8,16.2,8,5,47.9,8.4,70,1.7,2.7,57730
2018-09-27,2.5,18.9,25,13.2,9,5,47.6,10.3,85.8,1.3,2.4,58200
2018-09-28,2.7,17.5,22.2,14.3,12,7,58.1,3.5,29.4,1.2,2.1,59649
2018-09-29,1.8,20.2,27,14.6,14,9,55.5,10.8,90.8,1,2.4,63866
2018-09-30,2.2,17.6,21.6,14,19,10,52.5,10.4,87.4,2.3,5.5,55893
2018-10-01,0,15.4,19.7,13,16,9,55.1,7.9,66.9,2.9,6.1,51808
2018-10-02,1.4,15.9,22,10.3,22,13,61.4,10.8,91.5,1.6,4.1,57280
2018-10-03,1.1,17.3,24.2,11.2,24,14,58,10.6,90.6,1.3,4,64671
2018-10-04,3.1,19.3,25.6,13,21,12,56.5,8.9,76.1,1.3,2.4,59413
2018-10-05,36.5,16.9,19,15.7,11,6,84.1,0,0,1.7,3.2,7772
2018-10-06,55.5,18,21.7,16.3,5,3,84,3,25.9,2.2,5.3,32510
2018-10-07,1.7,16.4,21.1,12.3,23,10,53.5,10.5,90.5,1.7,3.6,57873
2018-10-08,2.2,14.8,20.9,9.2,20,8,47,10.5,90.5,1.1,2.7,57247
2018-10-09,0,15.3,19.8,10.7,23,12,52.5,2.3,20,1.1,2.7,61525
2018-10-10,7,12,16.7,7.9,18,11,61,6.5,56.5,2.5,4.7,44876
2018-10-11,2.1,9.7,13.9,6.1,17,9,51,9.3,81.6,2.1,5.6,44489
2018-10-12,1.9,10.9,17.4,5.2,22,13,54,10.1,88.6,1.3,3.2,48529
2018-10-13,2.5,12.5,19.8,6.1,29,18,54,10,87.7,1,2.9,49203
2018-10-14,2.4,13.2,20.3,6.8,30,20,60,9.9,87.6,1.5,3.1,49025
2018-10-15,1.3,15.2,21,10.9,49,32,69.9,6.8,60.2,1.4,3.5,49503
