"date","rental"
"2021-11-21",34395
"2021-11-22",57775
"2021-11-23",51996
"2021-11-24",70633
"2021-11-25",78020
"2021-11-26",69689
"2021-11-27",60157
"2021-11-28",61299
"2021-11-29",81658
"2021-11-30",33035
"2021-12-01",42877
"2021-12-02",48402
"2021-12-03",52076
"2021-12-04",45261
"2021-12-05",46609
"2021-12-06",60046
"2021-12-07",60579
"2021-12-08",60437
"2021-12-09",61435
"2021-12-10",53994
"2021-12-11",49960
"2021-12-12",37402
"2021-12-13",44025
"2021-12-14",57037
"2021-12-15",53144
"2021-12-16",57660
"2021-12-17",34428
"2021-12-18",27434
"2021-12-19",37016
"2021-12-20",57526
"2021-12-21",58175
"2021-12-22",53725
"2021-12-23",55502
"2021-12-24",38320
"2021-12-25",22633
"2021-12-26",23019
"2021-12-27",37368
"2021-12-28",40865
"2021-12-29",44122
"2021-12-30",40260
"2021-12-31",36691
